SBGL,174.94841,GDX,174.94841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVN,98.6144,IWO,0,IWN,0,IWC,0,IWV,0,IXJ,89.31996,VTI,0,XT,9.29444,IWM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICON,48.561302,IWN,3.906232,SLY,0.60571676,SLYG,0.73707616,VCR,0.3631184,IWV,0,VTI,0,IJR,25.601202,SLYV,1.2140076,IJT,2.7911339,ITOT,0,IJS,5.3302526,IWC,0.9986189,TILT,0.17342968,VIOO,0.86531657,IWM,5.975194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG,45.39656,GDX,12.92611,GDXJ,32.47045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSI,45.24945,IWO,0,IWN,3.6435888,SLY,0.508491,VCR,0.25402752,IWV,0,VTI,0,IJR,21.491865,SLYV,1.5772456,ITOT,0,IJS,6.925093,TILT,0.12132658,VIOO,0.52968246,XRT,1.5555129,PKW,0.28246346,IWM,8.360159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAS,42.822685,IWN,3.229567,ITOT,0,IWC,1.0836407,VNQ,22.207054,IWV,0,VTI,0,REM,8.892231,IWM,7.4101925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIHD,41.289185,IWN,0,ITOT,0,IWC,0.30214992,IWV,0,TILT,0,IYZ,11.317775,IWM,0,VOX,29.669262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMS,37.4378,ITOT,0,VTI,0,IXN,37.4378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLB,37.27162,IWN,8.689715,ITOT,0,IWC,2.499193,VDE,6.1442895,IWV,0,VTI,0,IWM,19.938421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTR,35.604916,VV,0.19126426,FXU,1.0113924,PRF,0.26932162,IVV,2.50306,VOOV,0.057644006,VTI,1.5519638,QDF,0.35529554,IWB,0.34072906,XLK,2.064324,IWD,1.2929338,RPV,1.3141502,VTV,0.610684,TILT,0.040532824,SPY,4.789523,IWS,1.2668091,IWR,1.1412523,IYY,0.019316426,IWV,0.14075656,IYZ,1.8292148,VYM,1.4167489,IUSV,0.10734865,VOE,1.534389,RSP,3.2830005,ITOT,0,VOO,2.9053802,IVE,0.5158435,VO,2.204922,VOX,2.847114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED,35.583794,IWO,0,IWN,3.42484,SLY,0.44609872,VCR,0.19102125,IWV,0,VTI,0,IJR,16.161251,SLYV,1.3685105,ITOT,0,IJS,5.6080413,IWC,0.9193296,VIOO,0.39830565,XRT,0.77980006,IWM,6.2865944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRF,33.012817,XT,33.012817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNCR,30.080471,IWO,2.6537209,SLY,0.31587753,SLYG,0.9609517,VGT,1.4232582,IWV,0,VTI,0,IGM,0.07015351,IJR,14.304503,IJT,3.6388981,ITOT,0,IGV,0.640971,TILT,0.0646018,VIOO,0.44319913,IWM,5.5643344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
