IVOO,8.9217997E8
MPW,Medical Properties Trust Inc,0.24
DCT,DCT Industrial Trust Inc,0.24
MENT,Mentor Graphics Corp,0.24
IDA,IDACORP Inc,0.24
UMPQ,Umpqua Holdings Corp,0.24
CLC,CLARCOR Inc,0.24
JCOM,j2 Global Inc,0.24
NEU,NewMarket Corp,0.24
BIO,Bio-Rad Laboratories Inc,0.23
WSO,Watsco Inc,0.23
WSM,Williams-Sonoma Inc,0.23
WWD,Woodward Inc,0.23
CRUS,Cirrus Logic Inc,0.23
SWX,Southwest Gas Corp,0.23
CRL,Charles River Laboratories International Inc,0.23
FICO,Fair Isaac Corp,0.23
HBHC,Hancock Holding Co,0.23
CBRL,Cracker Barrel Old Country Store Inc,0.23
TECH,Bio-Techne Corp,0.23
CY,Cypress Semiconductor Corp,0.23
LYV,Live Nation Entertainment Inc,0.22
LSI,LSI Corp,0.22
PRXL,PAREXEL International Corp,0.22
ASB,Associated Banc-Corp,0.22
CSAL,Communications Sales & Leasing Inc,0.22
DST,DST Systems Inc,0.22
FLO,Flowers Foods Inc,0.22
BOH,Bank of Hawaii Corp,0.22
SAIC,Science Applications International Corp,0.22
MANH,Manhattan Associates Inc,0.22
CST,CST Brands Inc,0.22
HE,Hawaiian Electric Industries Inc,0.22
ITT,ITT Corp,0.21
CR,Crane Co,0.21
MMS,MAXIMUS Inc,0.21
THG,Hanover Insurance Group Inc,0.21
NUVA,NuVasive Inc,0.21
LFUS,Littelfuse Inc,0.21
DLX,Deluxe Corp,0.21
LSTR,Landstar System Inc,0.21
HRC,Hill-Rom Holdings Inc,0.21
HR,Healthcare Realty Trust Inc,0.21
SNX,SYNNEX Corp,0.21
JACK,Jack in the Box Inc,0.21
CHFC,Chemical Financial Corp,0.21
HLS,HealthSouth Corp,0.21
KEX,Kirby Corp,0.21
PRI,Primerica Inc,0.2
CBT,Cabot Corp,0.2
SBH,Sally Beauty Holdings Inc,0.2
SXT,Sensient Technologies Corp,0.2
RYN,Rayonier Inc,0.2
CXW,Corrections Corp of America,0.2
LHO,LaSalle Hotel Properties,0.2
AHL,Aspen Insurance Holdings Ltd,0.2
CIEN,Ciena Corp,0.2
ENS,EnerSys,0.2
AMCX,AMC Networks Inc,0.2
ROL,Rollins Inc,0.2
IDTI,Integrated Device Technology Inc,0.2
OGS,ONE Gas Inc,0.2
TEX,Terex Corp,0.2
UMBF,UMB Financial Corp,0.2
SKX,Skechers U.S.A. Inc,0.2
VSAT,ViaSat Inc,0.2
CTLT,Catalent Inc,0.2
SF,Stifel Financial Corp,0.2
BKH,Black Hills Corp,0.2
NATI,National Instruments Corp,0.2
ESV,Ensco PLC,0.2
LNCE,Snyder's-Lance Inc,0.19
SKT,Tanger Factory Outlet Centers Inc,0.19
CNO,CNO Financial Group Inc,0.19
CAR,Avis Budget Group Inc,0.19
MPWR,Monolithic Power Systems Inc,0.19
RBC,Regal Beloit Corp,0.19
NJR,New Jersey Resources Corp,0.19
VMI,Valmont Industries Inc,0.19
GPOR,Gulfport Energy Corp,0.19
BDC,Belden Inc,0.19
IDCC,InterDigital Inc/PA,0.19
