GNW,Genworth Financial Inc,0.18
TPH,TRI Pointe Group Inc,0.18
TOWN,Towne Bank/Portsmouth VA,0.18
KRG,Kite Realty Group Trust,0.18
DNOW,NOW Inc,0.18
FDP,Fresh Del Monte Produce Inc,0.18
XHR,Xenia Hotels & Resorts Inc,0.18
RNST,Renasant Corp,0.17
AEL,American Equity Investment Life Holding Co,0.17
MRC,MRC Global Inc,0.17
IVR,Invesco Mortgage Capital Inc,0.17
MORE,Monogram Residential Trust Inc,0.17
DAR,Darling Ingredients Inc,0.17
BANR,Banner Corp,0.17
FFBC,First Financial Bancorp,0.17
HMN,Horace Mann Educators Corp,0.17
MRCY,Mercury Systems Inc,0.17
NBTB,NBT Bancorp Inc,0.17
CRS,Carpenter Technology Corp,0.17
NWBI,Northwest Bancshares Inc,0.17
INDB,Independent Bank Corp/Rockland MA,0.16
SFNC,Simmons First National Corp,0.16
OIS,Oil States International Inc,0.16
CBL,CBL & Associates Properties Inc,0.16
ARRY,Array BioPharma Inc,0.16
SIR,Select Income REIT,0.16
DECK,Deckers Outdoor Corp,0.16
KN,Knowles Corp,0.16
KMPR,Kemper Corp,0.16
FRME,First Merchants Corp,0.16
PFS,Provident Financial Services Inc,0.16
NWN,Northwest Natural Gas Co,0.16
MDR,McDermott International Inc,0.16
NSIT,Insight Enterprises Inc,0.16
BHE,Benchmark Electronics Inc,0.16
PRAA,PRA Group Inc,0.16
FCN,FTI Consulting Inc,0.16
GNL,GLOBAL NET LEASE INC,0.16
WSBC,WesBanco Inc,0.15
DK,Delek US Holdings Inc,0.15
UBSH,Union Bankshares Corp,0.15
UVV,Universal Corp/VA,0.15
BLD,TopBuild Corp,0.15
AVP,Avon Products Inc,0.15
TIVO,TiVo Inc,0.15
WRE,Washington Real Estate Investment Trust,0.15
ARI,Apollo Commercial Real Estate Finance Inc,0.15
IOSP,Innospec Inc,0.15
SBRA,Sabra Health Care REIT Inc,0.14
FCB,FCB Financial Holdings Inc,0.14
CCMP,Cabot Microelectronics Corp,0.14
IIVI,II-VI Inc,0.14
PRK,Park National Corp,0.14
ESE,ESCO Technologies Inc,0.14
BRKS,Brooks Automation Inc,0.14
ACCO,ACCO Brands Corp,0.14
MTOR,Meritor Inc,0.14
OTTR,Otter Tail Corp,0.14
SCL,Stepan Co,0.14
BPFH,Boston Private Financial Holdings Inc,0.14
RH,Restoration Hardware Holdings Inc,0.14
WABC,Westamerica Bancorporation,0.14
SSP,EW Scripps Co,0.14
DSW,DSW Inc,0.13
INN,Summit Hotel Properties Inc,0.13
CAL,CALERES INC,0.13
MTH,Meritage Homes Corp,0.13
WDR,Waddell & Reed Financial Inc,0.13
CUB,Cubic Corp,0.13
KRNY,Kearny Financial Corp/MD,0.13
AAWW,Atlas Air Worldwide Holdings Inc,0.13
SRCI,SRC ENERGY INC,0.13
WSFS,WSFS Financial Corp,0.13
DBD,Diebold Inc,0.13
BNCN,BNC Bancorp,0.13
CSFL,CenterState Banks Inc,0.13
TMP,Tompkins Financial Corp,0.12
TGI,Triumph Group Inc,0.12
GDOT,Green Dot Corp,0.12
SPTN,SpartanNash Co,0.12
MTX,Minerals Technologies Inc,0.12
FCF,First Commonwealth Financial Corp,0.12
ADC,Agree Realty Corp,0.12
FET,Forum Energy Technologies Inc,0.12
KAMN,Kaman Corp,0.12
STBA,S&T Bancorp Inc,0.12
CYS,CYS Investments Inc,0.12
CW,Curtiss-Wright Corp,0.12
NAV,Navistar International Corp,0.12
SEM,Select Medical Holdings Corp,0.12
OSIS,OSI Systems Inc,0.12
GPI,Group 1 Automotive Inc,0.12
WPG,WP GLIMCHER Inc,0.12
RWT,Redwood Trust Inc,0.12
ABY,ATLANTICA YIELD PLC,0.12
ORA,Ormat Technologies Inc,0.12
AIT,Applied Industrial Technologies Inc,0.12
KBH,KB Home,0.12
EIG,Employers Holdings Inc,0.12
XXIA,Ixia,0.12
PRGS,Progress Software Corp,0.12
AMC,AMC Entertainment Holdings Inc,0.12
SCHL,Scholastic Corp,0.12
DOC,Physicians Realty Trust,0.12
ITGR,INTEGER HOLDINGS CORP,0.12
NAVG,Navigators Group Inc,0.12
MBI,MBIA Inc,0.12
WERN,Werner Enterprises Inc,0.12
FSP,Franklin Street Properties Corp,0.12
ENTG,Entegris Inc,0.11
MGEE,MGE Energy Inc,0.11
HTLF,Heartland Financial USA Inc,0.11
TTMI,TTM Technologies Inc,0.11
CNMD,CONMED Corp,0.11
VECO,Veeco Instruments Inc,0.11
GBX,Greenbrier Cos Inc,0.11
WD,Walker & Dunlop Inc,0.11
FLOW,Flow International Corp,0.11
PMT,PennyMac Mortgage Investment Trust,0.11
RPT,Ramco-Gershenson Properties Trust,0.11
AYR,Aircastle Ltd,0.11
BHLB,Berkshire Hills Bancorp Inc,0.11
