FTD,FTD Cos Inc,0.03
WRLD,World Acceptance Corp,0.03
ARII,American Railcar Industries Inc,0.03
LMOS,Lumos Networks Corp,0.03
CECE,CECO Environmental Corp,0.03
MOFG,MidWestOne Financial Group Inc,0.03
GBLI,Global Indemnity PLC,0.03
CTRL,Control4 Corp,0.03
PARR,PAR PACIFIC HOLDINGS INC,0.03
OTIC,Otonomy Inc,0.03
FLXS,Flexsteel Industries Inc,0.03
NCOM,National Commerce Corp,0.03
YRCW,YRC Worldwide Inc,0.03
INSW,INTERNATIONAL SEAWAYS INC,0.03
DCO,Ducommun Inc,0.03
APTS,Preferred Apartment Communities Inc,0.03
AMNB,American National Bankshares Inc,0.03
AT,Atlantic Power Corp,0.03
EBTC,Enterprise Bancorp Inc/MA,0.03
NSM,Nationstar Mortgage Holdings Inc,0.03
MCRI,Monarch Casino & Resort Inc,0.03
CENT,Central Garden & Pet Co,0.03
ENVA,Enova International Inc,0.03
HRTG,Heritage Insurance Holdings Inc,0.03
BNED,Barnes & Noble Education Inc,0.03
ETM,Entercom Communications Corp,0.03
HCI,HCI Group Inc,0.03
CDE,Coeur Mining Inc,0.03
HY,Hyster-Yale Materials Handling Inc,0.03
HWKN,Hawkins Inc,0.03
TVPT,Travelport Worldwide Ltd,0.03
IVC,Invacare Corp,0.03
NTB,BANK OF NT BUTTERFIELD & SON LTD,0.03
BH,Biglari Holdings Inc,0.03
GCP,GCP APPLIED TECHNOLOGIES INC,0.03
ADTN,ADTRAN Inc,0.03
ARDX,Ardelyx Inc,0.03
CHGG,Chegg Inc,0.03
PDLI,PDL BioPharma Inc,0.03
ABTX,ALLEGIANCE BANCSHARES INC,0.03
CARO,Carolina Financial Corp,0.03
NCBS,NICOLET BANKSHARES INC,0.03
BV,Bazaarvoice Inc,0.03
PKE,Park Electrochemical Corp,0.03
PTCT,PTC Therapeutics Inc,0.03
WSR,Whitestone REIT,0.03
CNSL,Consolidated Communications Holdings Inc,0.03
EXAR,Exar Corp,0.03
GEF.B,Greif Inc,0.03
GTN,Gray Television Inc,0.03
TGH,Textainer Group Holdings Ltd,0.03
SPOK,Spok Holdings Inc,0.03
COWN,Cowen Group Inc,0.03
SNOW,Intrawest Resorts Holdings Inc,0.03
REGI,Renewable Energy Group Inc,0.03
BKE,Buckle Inc,0.03
EVH,Evolent Health Inc,0.03
MINI,Mobile Mini Inc,0.03
MOV,Movado Group Inc,0.03
ACRE,Ares Commercial Real Estate Corp,0.03
KTWO,K2M Group Holdings Inc,0.03
WTBA,West Bancorporation Inc,0.03
TESO,Tesco Corp,0.03
WINS,WINS FINANCE HOLDINGS INC,0.03
CCS,Century Communities Inc,0.03
SPPI,Spectrum Pharmaceuticals Inc,0.03
DAKT,Daktronics Inc,0.03
CIA,Citizens Inc/TX,0.03
GNBC,Green Bancorp Inc,0.03
KRO,Kronos Worldwide Inc,0.03
SCVL,Shoe Carnival Inc,0.03
CSBK,Clifton Bancorp Inc,0.03
FMNB,Farmers National Banc Corp,0.03
IPAR,Inter Parfums Inc,0.03
PUB,People's Utah Bancorp,0.03
IXYS,IXYS Corp,0.03
FGL,Fidelity & Guaranty Life,0.03
QUAD,Quad/Graphics Inc,0.03
AOSL,Alpha & Omega Semiconductor Ltd,0.03
FF,FutureFuel Corp,0.03
RBCAA,Republic Bancorp Inc/KY,0.03
CMTL,Comtech Telecommunications Corp,0.03
APEI,American Public Education Inc,0.03
VSEC,VSE Corp,0.03
CCNE,CNB Financial Corp/PA,0.03
MDCA,MDC Partners Inc,0.03
CLDX,Celldex Therapeutics Inc,0.03
PES,Pioneer Energy Services Corp,0.03
DGII,Digi International Inc,0.03
HTBK,Heritage Commerce Corp,0.03
NGS,Natural Gas Services Group Inc,0.03
ICON,Iconix Brand Group Inc,0.03
CALX,Calix Inc,0.02
POWL,Powell Industries Inc,0.02
SXI,Standex International Corp,0.02
NC,NACCO Industries Inc,0.02
CRAI,CRA International Inc,0.02
CARA,Cara Therapeutics Inc,0.02
LE,Lands' End Inc,0.02
CALM,Cal-Maine Foods Inc,0.02
CASS,Cass Information Systems Inc,0.02
MBVT,Merchants Bancshares Inc/VT,0.02
TACO,Del Taco Restaurants Inc,0.02
PFIS,Peoples Financial Services Corp,0.02
TTPH,Tetraphase Pharmaceuticals Inc,0.02
RSO,Resource Capital Corp,0.02
FNLC,First Bancorp Inc/ME,0.02
CHCT,Community Healthcare Trust Inc,0.02
TNAV,Telenav Inc,0.02
LBY,Libbey Inc,0.02
LPG,Dorian LPG Ltd,0.02
FPI,Farmland Partners Inc,0.02
NUTR,Nutraceutical International Corp,0.02
PERY,Perry Ellis International Inc,0.02
CZNC,Citizens & Northern Corp,0.02
PICO,PICO Holdings Inc,0.02
FFWM,First Foundation Inc,0.02
CMRX,Chimerix Inc,0.02
HOV,Hovnanian Enterprises Inc,0.02
SONS,Sonus Networks Inc,0.02
FBNK,First Connecticut Bancorp Inc/Farmington CT,0.02
FFKT,Farmers Capital Bank Corp,0.02
RUSHB,Rush Enterprises Inc,0.02
CRMT,America's Car-Mart Inc/TX,0.02
BGFV,Big 5 Sporting Goods Corp,0.02
BBG,Bill Barrett Corp,0.02
GCAP,GAIN Capital Holdings Inc,0.02
SNBC,Sun Bancorp Inc/NJ,0.02
ATLO,Ames National Corp,0.02
EXAC,Exactech Inc,0.02
ARTNA,Artesian Resources Corp,0.02
BRG,Bluerock Residential Growth REIT Inc,0.02
ZGNX,Zogenix Inc,0.02
APFH,ADVANCEPIERRE FOODS HOLDINGS INC,0.02
TNK,Teekay Tankers Ltd,0.02
CTRN,Citi Trends Inc,0.02
UMH,UMH Properties Inc,0.02
CRR,CARBO Ceramics Inc,0.02
QADA,QAD Inc,0.02
LNDC,Landec Corp,0.02
FMBH,First Mid-Illinois Bancshares Inc,0.02
DENN,Denny's Corp,0.02
MCBC,Macatawa Bank Corp,0.02
CHFN,Charter Financial Corp/MD,0.02
ACBI,ATLANTIC CAPITAL BANCSHARES INC,0.02
LTC,LTC Properties Inc,0.02
AEO,American Eagle Outfitters Inc,0.02
LPX,Louisiana-Pacific Corp,0.02
NKSH,National Bankshares Inc,0.02
AI,Arlington Asset Investment Corp,0.02
SFE,Safeguard Scientifics Inc,0.02
AHP,Ashford Hospitality Prime Inc,0.02
CACB,Cascade Bancorp,0.02
UIS,Unisys Corp,0.02
TITN,Titan Machinery Inc,0.02
HZO,MarineMax Inc,0.02
UFPI,Universal Forest Products Inc,0.02
CAI,CAI International Inc,0.02
HONE,HARBORONE BANCORP INC,0.02
NPTN,NeoPhotonics Corp,0.02
MLR,Miller Industries Inc/TN,0.02
PEGI,Pattern Energy Group Inc,0.02
REV,Revlon Inc,0.02
FRPH,FRP Holdings Inc,0.02
DSPG,DSP Group Inc,0.02
TBBK,Bancorp Inc,0.02
RYAM,Rayonier Advanced Materials Inc,0.02
EMCI,EMC Insurance Group Inc,0.02
GHL,Greenhill & Co Inc,0.02
ORC,Orchid Island Capital Inc,0.02
NEWS,NewStar Financial Inc,0.02
UVE,Universal Insurance Holdings Inc,0.02
WFBI,WashingtonFirst Bankshares Inc,0.02
SENEA,Seneca Foods Corp,0.02
PLUS,ePlus Inc,0.02
CLNE,Clean Energy Fuels Corp,0.02
BELFB,Bel Fuse Inc,0.02
RRTS,Roadrunner Transportation Systems Inc,0.02
TBNK,Territorial Bancorp Inc,0.02
GLDD,Great Lakes Dredge & Dock Corp,0.02
ERA,Era Group Inc,0.02
OLBK,Old Line Bancshares Inc,0.02
CVTI,Covenant Transportation Group Inc,0.02
CGI,Celadon Group Inc,0.02
GNRT,GENER8 MARITIME INC,0.02
LOCO,El Pollo Loco Holdings Inc,0.02
RNET,RigNet Inc,0.02
FNHC,Federated National Holding Co,0.02
BWINB,Baldwin & Lyons Inc,0.02
TRK,Speedway Motorsports Inc,0.02
ONDK,On Deck Capital Inc,0.02
AKBA,Akebia Therapeutics Inc,0.02
VBTX,Veritex Holdings Inc,0.02
KOPN,Kopin Corp,0.02
GRBK,Green Brick Partners Inc,0.02
SPAR,Spartan Motors Inc,0.02
EQBK,EQUITY BANCSHARES INC CLASS A,0.02
LCUT,Lifetime Brands Inc,0.02
ANCX,Access National Corp,0.02
BFIN,BankFinancial Corp,0.02
KMG,KMG Chemicals Inc,0.02
GIII,G-III Apparel Group Ltd,0.02
MRLN,Marlin Business Services Corp,0.02
GHM,Graham Corp,0.02
GLUU,Glu Mobile Inc,0.02
ADUS,Addus HomeCare Corp,0.02
CCBG,Capital City Bank Group Inc,0.02
CVLY,Codorus Valley Bancorp Inc,0.02
BLMT,BSB Bancorp Inc/MA,0.02
RTIX,RTI Surgical Inc,0.02
SIGM,Sigma Designs Inc,0.02
ACTG,Acacia Research Corp,0.02
GSAT,Globalstar Inc,0.02
PDVW,Pacific DataVision Inc,0.02
RAS,RAIT Financial Trust,0.02
PRTY,Party City Holdco Inc,0.02
EVTC,EVERTEC Inc,0.02
WLB,Westmoreland Coal Co,0.02
KPTI,Karyopharm Therapeutics Inc,0.02
CMRE,Costamare Inc,0.02
DGAS,Delta Natural Gas Co Inc,0.02
WNEB,WESTERN NEW ENGLAND BANCORP INC,0.02
SHBI,Shore Bancshares Inc,0.02
RM,Regional Management Corp,0.02
CSS,CSS Industries Inc,0.02
FBIZ,First Business Financial Services Inc,0.02
ASC,Ardmore Shipping Corp,0.02
LXU,LSB Industries Inc,0.02
LYTS,LSI Industries Inc,0.02
NVEC,NVE Corp,0.02
FBK,FB FINANCIAL CORP,0.02
PWOD,Penns Woods Bancorp Inc,0.02
TRR,TRC Cos Inc,0.02
OMAM,OM Asset Management Plc,0.02
ORN,Orion Marine Group Inc,0.02
GEOS,Geospace Technologies Corp,0.02
SPA,Sparton Corp,0.02
HCHC,HC2 Holdings Inc,0.02
AJX,Great Ajax Corp,0.02
RDI,Reading International Inc,0.02
PEIX,Pacific Ethanol Inc,0.02
EPZM,Epizyme Inc,0.02
VPG,Vishay Precision Group Inc,0.02
LQDT,Liquidity Services Inc,0.02
STML,Stemline Therapeutics Inc,0.01
STRS,Stratus Properties Inc,0.01
LAYN,Layne Christensen Co,0.01
IMMR,Immersion Corp,0.01
BCC,Boise Cascade Co,0.01
FNWB,First Northwest Bancorp,0.01
MBRG,Middleburg Financial Corp,0.01
TTD,THE TRADE DESK INC,0.01
JONE,Jones Energy Inc,0.01
SILC,Silicom Ltd,0.01
INBK,First Internet Bancorp,0.01
WEYS,Weyco Group Inc,0.01
ORRF,Orrstown Financial Services Inc,0.01
RAIL,FreightCar America Inc,0.01
GIG,GigOptix Inc,0.01
ICD,Independence Contract Drilling Inc,0.01
SGRY,SURGERY PARTNERS INC,0.01
ASCMA,Ascent Capital Group Inc,0.01
TIPT,Tiptree Financial Inc,0.01
XBKS,Xenith Bankshares Inc,0.01
LLNW,Limelight Networks Inc,0.01
TUES,Tuesday Morning Corp,0.01
SIFI,SI Financial Group Inc,0.01
CWCO,Consolidated Water Co Ltd,0.01
TRNC,TRONC INC,0.01
MACK,Merrimack Pharmaceuticals Inc,0.01
ELF,ELF BEAUTY INC,0.01
DGICA,Donegal Group Inc,0.01
SND,SMART SAND INC,0.01
ADMS,Adamas Pharmaceuticals Inc,0.01
BWFG,Bankwell Financial Group Inc,0.01
PHX,Panhandle Oil and Gas Inc,0.01
TTI,TETRA Technologies Inc,0.01
ATKR,ATKORE INTERNATIONAL GROUP INC,0.01
USLM,United States Lime & Minerals Inc,0.01
HCOM,Hawaiian Telcom Holdco Inc,0.01
RYI,Ryerson Holding Corp,0.01
KNX,Knight Transportation Inc,0.01
SQBG,Sequential Brands Group Inc,0.01
PHIIK,PHI Inc,0.01
FFNW,First Financial Northwest Inc,0.01
RILY,B. Riley Financial Inc,0.01
AXAS,Abraxas Petroleum Corp,0.01
HIBB,Hibbett Sports Inc,0.01
MEI,Methode Electronics Inc,0.01
OMN,OMNOVA Solutions Inc,0.01
CFFI,C&F Financial Corp,0.01
FCH,FelCor Lodging Trust Inc,0.01
MCF,Contango Oil & Gas Co,0.01
MPG,Metaldyne Performance Group Inc,0.01
NNA,Navios Maritime Acquisition Corp,0.01
TUSK,MAMMOTH ENERGY SERVICES INC,0.01
RUBI,Rubicon Project Inc,0.01
OCLR,Oclaro Inc,0.01
RT,Ruby Tuesday Inc,0.01
AVHI,AV Homes Inc,0.01
IMH,Impac Mortgage Holdings Inc,0.01
JAX,J ALEXANDERS HOLDINGS INC,0.01
NANO,Nanometrics Inc,0.01
I,Intelsat SA,0.01
BOOT,Boot Barn Holdings Inc,0.01
ECR,Eclipse Resources Corp,0.01
HIFS,Hingham Institution for Savings,0.01
COTV,COTIVITI HOLDINGS INC,0.01
KVHI,KVH Industries Inc,0.01
ATRC,AtriCure Inc,0.01
BBOX,Black Box Corp,0.01
EPAY,Bottomline Technologies de Inc,0.01
ESCA,Escalade Inc,0.01
PROV,Provident Financial Holdings Inc,0.01
OPB,Opus Bank,0.01
AMRC,Ameresco Inc,0.01
GFF,Griffon Corp,0.01
IHC,Independence Holding Co,0.01
BSET,Bassett Furniture Industries Inc,0.01
MSBI,MIDLAND STATES BANCORP INC,0.01
AGYS,Agilysys Inc,0.01
HDNG,Hardinge Inc,0.01
NOG,Northern Oil and Gas Inc,0.01
FELE,Franklin Electric Co Inc,0.01
AEIS,Advanced Energy Industries Inc,0.01
WTS,Watts Water Technologies Inc,0.01
DWSN,Dawson Geophysical Co,0.01
ESSA,ESSA Bancorp Inc,0.01
AOI,Alliance One International Inc,0.01
TILE,Interface Inc,0.01
AP,Ampco-Pittsburgh Corp,0.01
QNST,QuinStreet Inc,0.01
ANIK,Anika Therapeutics Inc,0.01
PLPC,Preformed Line Products Co,0.01
BREW,Craft Brew Alliance Inc,0.01
CHMG,Chemung Financial Corp,0.01
CPS,Cooper-Standard Holding Inc,0.01
INVA,INNOVIVA INC,0.01
BBW,Build-A-Bear Workshop Inc,0.01
PMBC,Pacific Mercantile Bancorp,0.01
GDEN,GOLDEN ENTERTAINMENT INC,0.01
DLA,Delta Apparel Inc,0.01
BCRH,Blue Capital Reinsurance Holdings Ltd,0.01
MRT,MEDEQUITIES REALTY INC TRUST,0.01
NLNK,NewLink Genetics Corp,0.01
GENC,Gencor Industries Inc,0.01
RNWK,RealNetworks Inc,0.01
BCRX,BioCryst Pharmaceuticals Inc,0.01
TPHS,TRINITY PLACE HOLDINGS INC,0.01
WG,Willbros Group Inc,0.01
LNN,Lindsay Corp,0.01
FBRC,FBR & Co,0.01
NWHM,New Home Co Inc,0.01
BOFI,BofI Holding Inc,0.01
TLYS,Tilly's Inc,0.01
HOS,Hornbeck Offshore Services Inc,0.01
FRGI,Fiesta Restaurant Group Inc,0.01
NAME,Rightside Group Ltd,0.01
ZFGN,Zafgen Inc,0.01
WTI,W&T Offshore Inc,0.01
STRT,Strattec Security Corp,0.01
IPHS,Innophos Holdings Inc,0.01
NSR,NeuStar Inc,0.01
HUBG,Hub Group Inc,0.01
KIRK,Kirkland's Inc,0.01
STS,Supreme Industries Inc,0.01
TSQ,Townsquare Media Inc,0.01
GBL,GAMCO Investors Inc,0.01
WLFC,Willis Lease Finance Corp,0.01
TTGT,TechTarget Inc,0.01
BLCM,Bellicum Pharmaceuticals Inc,0.01
NGVC,Natural Grocers by Vitamin Cottage Inc,0.01
XONE,ExOne Co,0.01
KNSL,KINSALE CAPITAL GROUP INC,0.01
VLGEA,Village Super Market Inc,0.01
EMKR,EMCORE Corp,0.01
CNBKA,Century Bancorp Inc/MA,0.01
NRIM,Northrim BanCorp Inc,0.01
MBTF,MBT Financial Corp,0.01
VEC,Vectrus Inc,0.01
LCNB,LCNB Corp,0.01
SMBC,Southern Missouri Bancorp Inc,0.01
ITIC,Investors Title Co,0.01
AMRI,Albany Molecular Research Inc,0.01
ESIO,Electro Scientific Industries Inc,0.01
LTS,Ladenburg Thalmann Financial Services Inc,0.01
CHS,Chico's FAS Inc,0.01
PKD,Parker Drilling Co,0.01
SFST,Southern First Bancshares Inc,0.01
ACNB,ACNB Corp,0.01
BOOM,Dynamic Materials Corp,0.01
SONA,Southern National Bancorp of Virginia Inc,0.01
BPI,Bridgepoint Education Inc,0.01
ODC,Oil-Dri Corp of America,0.01
PRFT,Perficient Inc,0.01
BMCH,BMC STOCK HOLDINGS INC,0.01
WIFI,Boingo Wireless Inc,0.01
PFBI,Premier Financial Bancorp Inc,0.01
HURC,Hurco Cos Inc,0.01
SGA,Saga Communications Inc,0.01
ZEUS,Olympic Steel Inc,0.01
ENT,Global Eagle Entertainment Inc,0.01
CRY,CryoLife Inc,0.01
PFSI,PennyMac Financial Services Inc,0.01
FLWS,1-800-Flowers.com Inc,0.01
AC,ASSOCIATED CAPITAL GROUP INC CLASS,0.01
PENN,Penn National Gaming Inc,0.01
VCRA,Vocera Communications Inc,0.01
CBRL,Cracker Barrel Old Country Store Inc,0.01
JOUT,Johnson Outdoors Inc,0.01
FCFP,First Community Financial Partners Inc,0.01
AIMC,Altra Industrial Motion Corp,0.01
BATRA,LIBERTY MEDIA LIBERTY BRAVES CORP,0.01
PTLA,Portola Pharmaceuticals Inc,0.01
GOLF,ACUSHNET HOLDINGS CORP,0.01
ZAGG,ZAGG Inc,0.01
KOP,Koppers Holdings Inc,0.01
HBCP,Home Bancorp Inc,0.01
CNCE,Concert Pharmaceuticals Inc,0.01
OMER,Omeros Corp,0.01
MXWL,Maxwell Technologies Inc,0.01
CVCY,Central Valley Community Bancorp,0.01
WMAR,West Marine Inc,0.01
ORM,Owens Realty Mortgage Inc,0.01
BIOS,BioScrip Inc,0.01
ARC,ARC Document Solutions Inc,0.01
SMMF,Summit Financial Group Inc,0.01
EPE,EP Energy Corp,0.01
UFPT,UFP Technologies Inc,0.01
CIE,Cobalt International Energy Inc,0.01
ADSW,ADVANCED DISPOSAL SERVICES INC,0.01
CONN,Conn's Inc,0.01
MFSF,MutualFirst Financial Inc,0.01
BSF,Bear State Financial Inc,0.01
OPY,Oppenheimer Holdings Inc,0.01
OSG,OVERSEAS SHIPHOLDING GROUP INC CLA,0.01
HALL,Hallmark Financial Services Inc,0.01
ERN,Erin Energy Corp,0.0
SHOS,Sears Hometown and Outlet Stores Inc,0.0
VDSI,VASCO Data Security International Inc,0.0
PDFS,PDF Solutions Inc,0.0
QDEL,Quidel Corp,0.0
IRTC,IRHYTHM TECHNOLOGIES INC,0.0
SNDX,SYNDAX PHARMACEUTICALS INC,0.0
CFNB,California First National Bancorp,0.0
PZN,Pzena Investment Management Inc,0.0
RARX,RA PHARMACEUTICALS INC,0.0
GAIA,Gaiam Inc,0.0
CSV,Carriage Services Inc,0.0
SP,SP Plus Corp,0.0
AXDX,Accelerate Diagnostics Inc,0.0
LGIH,LGI Homes Inc,0.0
PAHC,Phibro Animal Health Corp,0.0
DXLG,Destination XL Group Inc,0.0
WVE,WAVE LIFE SCIENCES LTD,0.0
INWK,InnerWorkings Inc,0.0
WTW,Weight Watchers International Inc,0.0
VNCE,Vince Holding Corp,0.0
MDLY,Medley Management Inc,0.0
MEET,MeetMe Inc,0.0
TPHS,TRINITY PLACE HOLDINGS INC DUMMY,0.0
FLKS,Flex Pharma Inc,0.0
VALU,Value Line Inc,0.0
OBLN,OBALON THERAPEUTICS INC,0.0
ROIAK,Radio One Inc,0.0
PFSW,PFSweb Inc,0.0
SPWH,Sportsman's Warehouse Holdings Inc,0.0
PFNX,PFENEX INC,0.0
NEOS,Neos Therapeutics Inc,0.0
HMTV,Hemisphere Media Group Inc,0.0
FLGT,FULGENT GENETICS INC,0.0
CDXS,Codexis Inc,0.0
ARWR,Arrowhead Research Corp,0.0
CLSD,CLEARSIDE BIOMEDICAL INC,0.0
TCMD,TACTILE SYSTEMS TECHNOLOGY INC,0.0
TRHC,TABULA RASA HEALTHCARE INC,0.0
PSIX,Power Solutions International Inc,0.0
NOVN,NOVAN INC,0.0
P5N994,Petrocorp Inc Escrow,0.0
-,RESTRICTED CONTRA FERROGLOBE UNIT,0.0
GRB,GERBER SCIENTIFIC ESCROW,0.0
WKHS,WORKHORSE GROUP INC,0.0
MLI,Mueller Industries Inc,0.0
ITEK,Inotek Pharmaceuticals Corp,0.0
PIP,PharmAthene Inc,0.0
TROV,Trovagene Inc,0.0
FSAM,Fifth Street Asset Management Inc,0.0
NH,NANTHEALTH INC,0.0
TTNP,TITAN PHARMACEUTICALS INC,0.0
CYTR,CytRx Corp,0.0
IMDZ,Immune Design Corp,0.0
KDMN,KADMON INC,0.0
ATHX,Athersys Inc,0.0
RSYS,Radisys Corp,0.0
PCYG,Park City Group Inc,0.0
ARA,AMERICAN RENAL ASSOCIATES HOLDINGS,0.0
MPAA,Motorcar Parts of America Inc,0.0
TAX,Liberty Tax Inc,0.0
KONA,Kona Grill Inc,0.0
GRIF,Griffin Industrial Realty Inc,0.0
NRCIA,National Research Corp,0.0
SSNI,Silver Spring Networks Inc,0.0
APTI,APPTIO INC,0.0
CIX,Compx International Inc,0.0
CHEF,Chefs' Warehouse Inc,0.0
ESTE,Earthstone Energy Inc,0.0
CTO,Consolidated-Tomoka Land Co,0.0
MYOV,MYOVANT SCIENCES LTD,0.0
RMTI,Rockwell Medical Inc,0.0
WAC,Walter Investment Management Corp,0.0
PTGX,PROTAGONIST THERAPEUTICS INC,0.0
USAT,USA Technologies Inc,0.0
SYRS,SYROS PHARMACEUTICALS INC,0.0
SELB,SELECTA BIOSCIENCES INC,0.0
ENOC,EnerNOC Inc,0.0
NDLS,Noodles & Co,0.0
IDRA,Idera Pharmaceuticals Inc,0.0
PETX,Aratana Therapeutics Inc,0.0
DMTX,DIMENSION THERAPEUTICS INC,0.0
IESC,Integrated Electrical Services Inc,0.0
UNB,Union Bankshares Inc/Morrisville VT,0.0
LMNR,Limoneira Co,0.0
INFI,Infinity Pharmaceuticals Inc,0.0
ECOM,ChannelAdvisor Corp,0.0
ENZ,Enzo Biochem Inc,0.0
BOLD,AUDENTES THERAPEUTICS INC,0.0
DMRC,Digimarc Corp,0.0
VICR,Vicor Corp,0.0
NEFF,Neff Corp,0.0
TPIC,TPI COMPOSITES INC,0.0
RLH,Red Lion Hotels Corp,0.0
ECHO,Echo Global Logistics Inc,0.0
SYX,Systemax Inc,0.0
ECYT,Endocyte Inc,0.0
PLOW,Douglas Dynamics Inc,0.0
FRP,FairPoint Communications Inc,0.0
XCO,EXCO Resources Inc,0.0
SYUT,Synutra International Inc,0.0
IDT,IDT Corp,0.0
MN,Manning & Napier Inc,0.0
HIL,Hill International Inc,0.0
SREV,ServiceSource International Inc,0.0
NCIT,NCI Inc,0.0
NATR,Nature's Sunshine Products Inc,0.0
JAKK,JAKKS Pacific Inc,0.0
CNTY,Century Casinos Inc,0.0
CDTX,Cidara Therapeutics Inc,0.0
MTSC,MTS Systems Corp,0.0
EDGE,EDGE THERAPEUTICS INC,0.0
MCHX,Marchex Inc,0.0
QTNA,QUANTENNA COMMUNICATIONS INC,0.0
HCCI,Heritage-Crystal Clean Inc,0.0
HLTH,NOBILIS HEALTH CORP,0.0
SHLD,Sears Holdings Corp,0.0
MSEX,Middlesex Water Co,0.0
NIHD,NII Holdings Inc,0.0
KBAL,Kimball International Inc,0.0
SFS,Smart & Final Stores Inc,0.0
RXDX,Ignyta Inc,0.0
EGLT,Egalet Corp,0.0
VIVO,Meridian Bioscience Inc,0.0
VHI,Valhi Inc,0.0
ALCO,Alico Inc,0.0
SALM,Salem Media Group Inc,0.0
GRC,Gorman-Rupp Co,0.0
BLBD,Blue Bird Corp,0.0
GNE,Genie Energy Ltd,0.0
RLGT,Radiant Logistics Inc,0.0
TNC,Tennant Co,0.0
HNH,Handy & Harman Ltd,0.0
UCP,UCP Inc,0.0
HOME,Home Federal Bancorp Inc/Idaho,0.0
DJCO,Daily Journal Corp,0.0
UIHC,United Insurance Holdings Corp,0.0
PVBC,Provident Bancorp Inc,0.0
AE,Adams Resources & Energy Inc,0.0
SNHY,Sun Hydraulics Corp,0.0
AMSC,American Superconductor Corp,0.0
VYGR,VOYAGER THERAPEUTICS INC,0.0
AFH,Atlas Financial Holdings Inc,0.0
TRXC,TransEnterix Inc,0.0
BL,BLACKLINE INC,0.0
FOGO,Fogo De Chao Inc,0.0
AGFS,AGROFRESH SOLUTIONS INC,0.0
USAK,USA Truck Inc,0.0
NVEE,NV5 Holdings Inc,0.0
ABTL,Autobytel Inc,0.0
GSOL,Global Sources Ltd,0.0
PLUG,Plug Power Inc,0.0
ALX,Alexander's Inc,0.0
BFS,Saul Centers Inc,0.0
NYNY,Empire Resorts Inc,0.0
PI,IMPINJ INC,0.0
RIGL,Rigel Pharmaceuticals Inc,0.0
FNBC,First NBC Bank Holding Co,0.0
TVIA,TERRAVIA INC,0.0
TXMD,TherapeuticsMD Inc,0.0
ABCD,Cambium Learning Group Inc,0.0
WAAS,AQUAVENTURE HOLDINGS LTD,0.0
MEDP,MEDPACE HOLDINGS INC,0.0
CPLA,Capella Education Co,0.0
ADVM,ADVERUM BIOTECHNOLOGIES INC,0.0
LUB,Luby's Inc,0.0
BGC,General Cable Corp,0.0
VSLR,VIVINT SOLAR INC,0.0
GMRE,GLOBAL MEDICAL REIT INC,0.0
GCBC,Greene County Bancorp Inc,0.0
CERS,Cerus Corp,0.0
VRA,Vera Bradley Inc,0.0
NL,NL Industries Inc,0.0
CIO,City Office REIT Inc,0.0
PMTS,CPI CARD GROUP INC,0.0
AVID,Avid Technology Inc,0.0
ERI,Eldorado Resorts Inc,0.0
SSI,Stage Stores Inc,0.0
COGT,COGINT INC,0.0
CRVS,CORVUS PHARMACEUTICALS INC,0.0
ICBK,County Bancorp Inc,0.0
BRSS,Global Brass & Copper Holdings Inc,0.0
NMRX,Numerex Corp,0.0
NK,NantKwest Inc,0.0
ORBC,ORBCOMM Inc,0.0
REIS,Reis Inc,0.0
COUP,Coupons.com Inc,0.0
CSTR,CAPSTAR FINANCIAL HOLDINGS INC,0.0
AGEN,Agenus Inc,0.0
AHH,Armada Hoffler Properties Inc,0.0
YORW,York Water Co,0.0
CWH,CAMPING WORLD HOLDINGS INC CLASS A,0.0
ACET,Aceto Corp,0.0
FCEL,FuelCell Energy Inc,0.0
GEN,Genesis Healthcare Inc,0.0
TISI,Team Inc,0.0
TAST,Carrols Restaurant Group Inc,0.0
SCWX,SECUREWORKS CLASS A CORP,0.0
FRTA,FORTERRA INC,0.0
VIRT,VIRTU FINANCIAL INC CLASS A,0.0
TCS,Container Store Group Inc,0.0
IMMU,Immunomedics Inc,0.0
TREC,Trecora Resources,0.0
LAWS,Lawson Products Inc/DE,0.0
KODK,Eastman Kodak Co,0.0
OVAS,OvaScience Inc,0.0
RST,Rosetta Stone Inc,0.0
PBNC,PARAGON COMMERCIAL CORP,0.0
CBMG,Cellular Biomedicine Group Inc,0.0
PTSI,PAM Transportation Services Inc,0.0
TDW,Tidewater Inc,0.0
GORO,Gold Resource Corp,0.0
EVBG,EVERBRIDGE INC,0.0
TPB,TURNING POINT BRANDS INC,0.0
ULH,Universal Truckload Services Inc,0.0
FC,Franklin Covey Co,0.0
MCRN,MILACRON HOLDINGS CORP,0.0
