VTV,3.857E10
AMP,Ameriprise Financial Inc,0.16
RF,Regions Financial Corp,0.16
DTE,DTE Energy Co,0.16
ES,Eversource Energy,0.16
SYMC,Symantec Corp,0.15
CAG,ConAgra Foods Inc,0.15
TAP,Molson Coors Brewing Co,0.15
DPS,Dr Pepper Snapple Group Inc,0.15
PFG,Principal Financial Group Inc,0.15
WLTW,WILLIS TOWERS WA,0.15
LNC,Lincoln National Corp,0.14
HES,Hess Corp,0.14
CLX,Clorox Co,0.14
VIAB,Viacom Inc,0.13
SJM,JM Smucker Co,0.13
HBAN,Huntington Bancshares Inc/OH,0.13
ABC,AmerisourceBergen Corp,0.13
NOV,National Oilwell Varco Inc,0.13
MRO,Marathon Oil Corp,0.13
CTL,CenturyLink Inc,0.13
DVMT,DELL TECH-CL V,0.13
L,Loews Corp,0.12
BLL,Ball Corp,0.12
STX,Seagate Technology PLC,0.12
WHR,Whirlpool Corp,0.12
AWK,American Water Works Co Inc,0.12
GPC,Genuine Parts Co,0.12
RSG,Republic Services Inc,0.12
BEN,Franklin Resources Inc,0.12
WRK,WestRock Co,0.12
MSI,Motorola Solutions Inc,0.12
HST,Host Hotels & Resorts Inc,0.12
FE,FirstEnergy Corp,0.11
ETR,Entergy Corp,0.11
AEE,Ameren Corp,0.11
HRS,Harris Corp,0.11
DGX,Quest Diagnostics Inc,0.11
CPB,Campbell Soup Co,0.11
CE,Celanese Corp,0.11
DOV,Dover Corp,0.11
BBY,Best Buy Co Inc,0.11
CMS,CMS Energy Corp,0.11
COL,Rockwell Collins Inc,0.1
IVZ,Invesco Ltd,0.1
CMA,Comerica Inc,0.1
OKE,ONEOK Inc,0.1
HOLX,Hologic Inc,0.1
CINF,Cincinnati Financial Corp,0.1
LLL,L-3 Communications Holdings Inc,0.1
MOS,Mosaic Co,0.1
EMN,Eastman Chemical Co,0.1
CNP,CenterPoint Energy Inc,0.09
NTAP,NetApp Inc,0.09
UNM,Unum Group,0.09
COH,Coach Inc,0.09
LVS,Las Vegas Sands Corp,0.09
CCL,Carnival Corp,0.09
ALB,Albemarle Corp,0.09
NLY,Annaly Capital Management Inc,0.09
PRGO,Perrigo Co PLC,0.09
ACGL,Arch Capital Group Ltd,0.09
XL,XL Group PLC,0.09
HOG,Harley-Davidson Inc,0.09
ARNC,ARCONIC INC,0.09
LEA,Lear Corp,0.09
CA,CA Inc,0.09
BG,Bunge Ltd,0.08
WFM,Whole Foods Market Inc,0.08
NEM,Newmont Mining Corp,0.08
PNR,Pentair PLC,0.08
SNPS,Synopsys Inc,0.08
WU,Western Union Co,0.08
ALLY,Ally Financial Inc,0.08
TSO,Tesoro Corp,0.08
MAC,Macerich Co,0.08
SWK,Stanley Black & Decker Inc,0.08
IPG,Interpublic Group of Cos Inc,0.08
HAS,Hasbro Inc,0.08
FNF,FNF Group,0.08
M,Macy's Inc,0.08
DRI,Darden Restaurants Inc,0.08
MAT,Mattel Inc,0.08
SCG,SCANA Corp,0.08
XYL,Xylem Inc/NY,0.08
DRE,Duke Realty Corp,0.08
PNW,Pinnacle West Capital Corp,0.08
ZION,Zions Bancorporation,0.07
LNT,Alliant Energy Corp,0.07
CIT,CIT Group Inc,0.07
TMK,Torchmark Corp,0.07
ARMK,Aramark,0.07
CF,CF Industries Holdings Inc,0.07
NDAQ,NASDAQ OMX Group Inc,0.07
RGA,Reinsurance Group of America Inc,0.07
FMC,FMC Corp,0.07
QVCA,Liberty Interactive Corp QVC Group,0.07
VOYA,Voya Financial Inc,0.07
FLR,Fluor Corp,0.07
LUK,Leucadia National Corp,0.07
CCK,Crown Holdings Inc,0.07
AES,AES Corp/VA,0.07
PVH,PVH Corp,0.06
ASH,Ashland Inc,0.06
