PKW,1.49E9
AIRM,Air Methods Corp,0.07
HUBG,Hub Group Inc,0.07
CRS,Carpenter Technology Corp,0.07
DDS,Dillard's Inc,0.06
DSW,DSW Inc,0.06
ABG,Asbury Automotive Group Inc,0.06
AINV,Apollo Investment Corp,0.06
KRNY,Kearny Financial Corp/MD,0.06
NNI,Nelnet Inc,0.06
INVA,Innoviva Inc,0.06
RMBS,Rambus Inc,0.06
VSTO,Vista Outdoor Inc,0.05
BOBE,Bob Evans Farms Inc/DE,0.05
HMHC,Houghton Mifflin Harcourt Co,0.05
GCO,Genesco Inc,0.05
SCSS,Select Comfort Corp,0.05
MBI,MBIA Inc,0.05
RWT,Redwood Trust Inc,0.05
BNCL,Beneficial Bancorp Inc,0.05
PMT,PennyMac Mortgage Investment Trust,0.05
WNC,Wabash National Corp,0.05
DENN,Denny's Corp,0.04
SNOW,Intrawest Resorts Holdings Inc,0.04
BJRI,BJ's Restaurants Inc,0.04
GFF,Griffon Corp,0.04
CBPX,Continental Building Products Inc,0.04
ATSG,Air Transport Services Group Inc,0.04
HURN,Huron Consulting Group Inc,0.04
SCSC,ScanSource Inc,0.04
PLUS,ePlus Inc,0.04
RATE,Bankrate Inc,0.04
CLW,Clearwater Paper Corp,0.04
SONC,Sonic Corp,0.04
EXPR,Express Inc,0.03
SAH,Sonic Automotive Inc,0.03
RRGB,Red Robin Gourmet Burgers Inc,0.03
FINL,Finish Line Inc,0.03
NBHC,National Bank Holdings Corp,0.03
ARR,ARMOUR Residential REIT Inc,0.03
MTGE,American Capital Mortgage Investment Corp,0.03
PHH,PHH Corp,0.03
OFIX,Orthofix International NV,0.03
PRSC,Providence Service Corp,0.03
AEGN,Aegion Corp,0.03
KFRC,Kforce Inc,0.03
MYRG,MYR Group Inc,0.03
STAR,iStar Financial Inc,0.03
SNR,New Senior Investment Group Inc,0.03
HT,Hersha Hospitality Trust,0.03
FRAN,Francesca's Holdings Corp,0.02
RUTH,Ruth's Hospitality Group Inc,0.02
FTD,FTD Cos Inc,0.02
SCVL,Shoe Carnival Inc,0.02
GNC,GNC Holdings Inc,0.02
VSI,Vitamin Shoppe Inc,0.02
ZUMZ,Zumiez Inc,0.02
VRTS,Virtus Investment Partners Inc,0.02
SNC,State National Cos Inc,0.02
HCI,HCI Group Inc,0.02
FCBC,First Community Bancshares Inc/VA,0.02
ECHO,Echo Global Logistics Inc,0.02
RPXC,RPX Corp,0.02
BW,Babcock & Wilcox Enterprises Inc,0.02
HLIT,Harmonic Inc,0.02
GNCMA,General Communication Inc,0.02
PBPB,Potbelly Corp,0.01
CRMT,America's Car-Mart Inc/TX,0.01
NHTC,Natural Health Trends Corp,0.01
REGI,Renewable Energy Group Inc,0.01
TICC,TICC Capital Corp,0.01
CSBK,Clifton Bancorp Inc,0.01
RM,Regional Management Corp,0.01
FFNW,First Financial Northwest Inc,0.01
CRAI,CRA International Inc,0.01
FC,Franklin Covey Co,0.01
KE,Kimball Electronics Inc,0.01
SALE,RetailMeNot Inc,0.01
CRCM,Care.com Inc,0.01
DHX,DHI Group Inc,0.01
AHP,Ashford Hospitality Prime Inc,0.01
KIRK,Kirkland's Inc,0.0
JAKK,JAKKS Pacific Inc,0.0
GAIA,Gaiam Inc,0.0
SSI,Stage Stores Inc,0.0
HNR,Harvest Natural Resources Inc,0.0
WLFC,Willis Lease Finance Corp,0.0
PLPM,Planet Payment Inc,0.0
GSIT,GSI Technology Inc,0.0
