IVE,1.62900009E10
WLTW,WILLIS TOWERS WATSON PLC,0.17
CSX,CSX Corp,0.17
MON,Monsanto Co,0.17
DE,Deere & Co,0.17
GIS,General Mills Inc,0.17
SJM,JM Smucker Co,0.17
LNC,Lincoln National Corp,0.16
CME,CME Group Inc/IL,0.16
VIAB,Viacom Inc,0.16
HBAN,Huntington Bancshares Inc/OH,0.15
FTI,FMC Technologies Inc,0.15
RTN,Raytheon Co,0.15
ABC,AmerisourceBergen Corp,0.15
BEN,Franklin Resources Inc,0.15
PX,Praxair Inc,0.15
ECL,Ecolab Inc,0.15
NOV,National Oilwell Varco Inc,0.15
XRAY,DENTSPLY International Inc,0.15
HCP,HCP Inc,0.14
GPC,Genuine Parts Co,0.14
BHI,Baker Hughes Inc,0.14
HSIC,Henry Schein Inc,0.14
STX,Seagate Technology PLC,0.14
TEL,TE Connectivity Ltd,0.14
FE,FirstEnergy Corp,0.14
ETR,Entergy Corp,0.14
WHR,Whirlpool Corp,0.14
IVZ,Invesco Ltd,0.13
AEE,Ameren Corp,0.13
MRO,Marathon Oil Corp,0.13
L,Loews Corp,0.13
HES,Hess Corp,0.13
BLL,Ball Corp,0.13
WRK,WestRock Co,0.13
CTL,CenturyLink Inc,0.13
PPG,PPG Industries Inc,0.13
WMB,Williams Cos Inc,0.13
TXT,Textron Inc,0.13
APD,Air Products & Chemicals Inc,0.13
CMS,CMS Energy Corp,0.13
AME,AMETEK Inc,0.13
SYY,Sysco Corp,0.13
DOV,Dover Corp,0.12
HCA,HCA Holdings Inc,0.12
ARNC,ARCONIC INC,0.12
CNC,Centene Corp,0.12
CFG,Citizens Financial Group Inc,0.12
PSA,Public Storage,0.12
EMN,Eastman Chemical Co,0.12
PCAR,PACCAR Inc,0.12
CCI,Crown Castle International Corp,0.11
DHI,DR Horton Inc,0.11
UNM,Unum Group,0.11
SLG,SL Green Realty Corp,0.11
AMP,Ameriprise Financial Inc,0.11
DVA,DaVita HealthCare Partners Inc,0.11
CTSH,Cognizant Technology Solutions Corp,0.11
XL,XL Group PLC,0.11
PNR,Pentair PLC,0.11
LEN,Lennar Corp,0.1
SWK,Stanley Black & Decker Inc,0.1
CA,CA Inc,0.1
MOS,Mosaic Co,0.1
KEY,KeyCorp,0.1
PRGO,Perrigo Co PLC,0.1
VRTX,Vertex Pharmaceuticals Inc,0.1
TSO,Tesoro Corp,0.1
SYMC,Symantec Corp,0.1
SCG,SCANA Corp,0.1
ROP,Roper Technologies Inc,0.1
DVN,Devon Energy Corp,0.1
GT,Goodyear Tire & Rubber Co,0.1
HRL,Hormel Foods Corp,0.1
KSU,Kansas City Southern,0.09
PNW,Pinnacle West Capital Corp,0.09
M,Macy's Inc,0.09
WFM,Whole Foods Market Inc,0.09
NWL,Newell Rubbermaid Inc,0.09
WEC,WEC Energy Group Inc,0.09
VTR,Ventas Inc,0.09
AMG,Affiliated Managers Group Inc,0.09
ZION,Zions Bancorporation,0.09
VNO,Vornado Realty Trust,0.09
QRVO,Qorvo Inc,0.09
CXO,Concho Resources Inc,0.09
BWA,BorgWarner Inc,0.09
K,Kellogg Co,0.09
LUK,Leucadia National Corp,0.09
ZBH,Zimmer Biomet Holdings Inc,0.09
TMK,Torchmark Corp,0.09
NBL,Noble Energy Inc,0.09
FOX,Twenty-First Century Fox Inc,0.08
NUE,Nucor Corp,0.08
CLX,Clorox Co,0.08
EL,Estee Lauder Cos Inc,0.08
RCL,Royal Caribbean Cruises Ltd,0.08
