VIS,3.94E9
HEES,H&E Equipment Services Inc,0.03
SITE,SITEONE LANDSCAP,0.03
AEGN,Aegion Corp,0.03
LNN,Lindsay Corp,0.03
ATSG,Air Transport Services Group Inc,0.03
ESND,Essendant Inc,0.03
PLOW,Douglas Dynamics Inc,0.02
ARCB,ArcBest Corp,0.02
GFF,Griffon Corp,0.02
BW,Babcock & Wilcox Enterprises Inc,0.02
QUAD,Quad/Graphics Inc,0.02
ALG,Alamo Group Inc,0.02
LKSD,LSC COMMUNICATIO,0.02
BRSS,Global Brass & Copper Holdings Inc,0.02
KELYA,Kelly Services Inc,0.02
THR,Thermon Group Holdings Inc,0.02
KAI,Kadant Inc,0.02
IIIN,Insteel Industries Inc,0.02
CBZ,CBIZ Inc,0.02
GRC,Gorman-Rupp Co,0.02
ECHO,Echo Global Logistics Inc,0.02
TWI,Titan International Inc,0.02
MYRG,MYR Group Inc,0.02
NX,Quanex Building Products Corp,0.02
DXPE,DXP Enterprises Inc,0.02
EGL,Engility Holdings Inc,0.02
KFRC,Kforce Inc,0.02
CSWI,CSW INDUSTRI INC,0.02
ATKR,ATKORE INTERNATI,0.02
NCS,NCI Building Systems Inc,0.02
PGTI,PGT Inc,0.02
AVAV,Aerovironment Inc,0.02
MRTN,Marten Transport Ltd,0.02
RPXC,RPX Corp,0.02
HY,Hyster-Yale Materials Handling Inc,0.02
CMCO,Columbus McKinnon Corp/NY,0.02
KBAL,Kimball International Inc,0.02
VRTV,Veritiv Corp,0.02
NPK,National Presto Industries Inc,0.02
KTOS,Kratos Defense & Security Solutions Inc,0.02
NNBR,NN Inc,0.01
SP,SP Plus Corp,0.01
RECN,Resources Connection Inc,0.01
KEYW,KEYW Holding Corp,0.01
EBF,Ennis Inc,0.01
YRCW,YRC Worldwide Inc,0.01
AFI,ARMSTRONG FL,0.01
INWK,InnerWorkings Inc,0.01
MG,Mistras Group Inc,0.01
PGEM,Ply Gem Holdings Inc,0.01
CVEO,Civeo Corp,0.01
ARII,American Railcar Industries Inc,0.01
VICR,Vicor Corp,0.01
MCRN,MILACRON HOLDING,0.01
CAI,CAI INTERNATIONA,0.01
ACTG,Acacia Research Corp,0.01
RUN,Sunrun Inc,0.01
NVEE,NV5 Holdings Inc,0.01
GPX,GP Strategies Corp,0.01
HSII,Heidrick & Struggles International Inc,0.01
CECE,CECO Environmental Corp,0.01
PKOH,Park-Ohio Holdings Corp,0.01
POWL,Powell Industries Inc,0.01
ERII,Energy Recovery Inc,0.01
RUSHB,Rush Enterprises Inc,0.0
ATROB,Astronics Corp,0.0
FCEL,FuelCell Energy Inc,0.0
BLBD,Blue Bird Corp,0.0
AMOT,Allied Motion Technologies Inc,0.0
PLUG,Plug Power Inc,0.0
ARC,ARC Document Solutions Inc,0.0
CGI,Celadon Group Inc,0.0
RRTS,Roadrunner Transportation Systems Inc,0.0
NXEO,NEXEO SOLUTIONS,0.0
GMS,GMS INC,0.0
PSIX,Power Solutions International Inc,0.0
