IVOV,7.0521005E8
KMPR,Kemper Corp,0.26
CDNS,Cadence Design Systems Inc,0.26
UTHR,United Therapeutics Corp,0.26
CCP,CARE CAPITAL PRO,0.26
JCP,JC Penney Co Inc,0.26
DBD,Diebold Inc,0.26
BIO,Bio-Rad Laboratories Inc,0.26
OIS,Oil States International Inc,0.26
PAY,VeriFone Systems Inc,0.25
LW,LAMB WESTON,0.25
SYNA,Synaptics Inc,0.25
AAN,Aaron's Inc,0.25
CTLT,Catalent Inc,0.24
FDS,FactSet Research Systems Inc,0.24
CNK,Cinemark Holdings Inc,0.24
TCO,Taubman Centers Inc,0.24
PRXL,PAREXEL International Corp,0.24
DV,DeVry Education Group Inc,0.24
TIME,Time Inc,0.24
RYN,Rayonier Inc,0.24
MLHR,Herman Miller Inc,0.24
CRS,Carpenter Technology Corp,0.23
EPR,EPR Properties,0.23
PTC,PTC Inc,0.23
LYV,Live Nation Entertainment Inc,0.23
NSR,NeuStar Inc,0.23
EV,Eaton Vance Corp,0.23
DF,Dean Foods Co,0.23
HYH,Halyard Health Inc,0.23
NEU,NewMarket Corp,0.22
TPH,TRI Pointe Group Inc,0.22
TUP,Tupperware Brands Corp,0.22
FCN,FTI Consulting Inc,0.22
JNS,Janus Capital Group Inc,0.22
BRCD,Brocade Communications Systems Inc,0.22
WBS,Webster Financial Corp,0.22
QCP,QUALITY CARE,0.22
DCI,Donaldson Co Inc,0.21
NATI,National Instruments Corp,0.21
WPG,WP GLIMCHER Inc,0.21
GNW,Genworth Financial Inc,0.21
NYT,New York Times Co,0.21
NE,Noble Corp plc,0.21
PVTB,PrivateBancorp Inc,0.2
BDC,Belden Inc,0.2
KN,Knowles Corp,0.2
SPN,Superior Energy Services Inc,0.2
WSO,Watsco Inc,0.2
FULT,Fulton Financial Corp,0.2
VMI,Valmont Industries Inc,0.2
KMT,Kennametal Inc,0.2
CMP,Compass Minerals International Inc,0.2
SM,SM Energy Co,0.19
SBH,Sally Beauty Holdings Inc,0.19
WDR,Waddell & Reed Financial Inc,0.19
GEF,Greif Inc,0.19
CRL,Charles River Laboratories International Inc,0.18
TDY,Teledyne Technologies Inc,0.18
THC,Tenet Healthcare Corp,0.18
BKH,Black Hills Corp,0.17
CVG,Convergys Corp,0.17
HRC,Hill-Rom Holdings Inc,0.17
JW.A,John Wiley & Sons Inc,0.17
TGI,Triumph Group Inc,0.17
KBH,KB Home,0.17
MBFI,MB Financial Inc,0.17
GPOR,Gulfport Energy Corp,0.16
CAB,Cabela's Inc,0.16
GATX,GATX CORP,0.16
SXT,Sensient Technologies Corp,0.16
CHFC,Chemical Financial Corp,0.16
SFM,Sprouts Farmers Market Inc,0.16
WERN,Werner Enterprises Inc,0.16
DY,Dycom Industries Inc,0.15
TRMK,Trustmark Corp,0.15
FII,Federated Investors Inc,0.15
JOY,Joy Global Inc,0.15
ACIW,ACI Worldwide Inc,0.15
MANH,Manhattan Associates Inc,0.15
DLX,Deluxe Corp,0.15
PBH,Prestige Brands Holdings Inc,0.15
ENR,Energizer Holdings Inc,0.15
AMCX,AMC Networks Inc,0.15
VSAT,ViaSat Inc,0.15
CEB,CEB Inc,0.14
VSM,VERSUM MATER,0.14
HSNI,HSN Inc,0.14
ACXM,Acxiom Corp,0.14
UMBF,UMB Financial Corp,0.14
BOH,Bank of Hawaii Corp,0.14
IBOC,International Bancshares Corp,0.14
CBRL,Cracker Barrel Old Country Store Inc,0.13
FOSL,Fossil Group Inc,0.13
DO,Diamond Offshore Drilling Inc,0.13
HR,Healthcare Realty Trust Inc,0.13
RH,Restoration Hardware Holdings Inc,0.13
SKT,Tanger Factory Outlet Centers Inc,0.13
GMED,Globus Medical Inc,0.12
MDP,Meredith Corp,0.12
CLI,Mack-Cali Realty Corp,0.12
OFC,Corporate Office Properties Trust,0.12
HNI,HNI Corp,0.12
VSTO,Vista Outdoor Inc,0.12
ISCA,International Speedway Corp,0.12
ALEX,Alexander & Baldwin Inc,0.11
CHS,Chico's FAS Inc,0.11
DECK,Deckers Outdoor Corp,0.11
UE,Urban Edge Properties,0.11
TPX,Tempur Sealy International Inc,0.11
SCOR,comScore Inc,0.1
DNR,Denbury Resources Inc,0.1
SAM,Boston Beer Co Inc,0.08
PLT,Plantronics Inc,0.07
PCH,Potlatch Corp,0.07
DDD,3D Systems Corp,0.06
WETF,WisdomTree Investments Inc,0.05
TR,Tootsie Roll Industries Inc,0.02
MAA,Mid-America Apartment Communities Inc,0.0
