VNQ,3.3040001E10
SPG,Simon Property Group Inc,7.09
PSA,Public Storage,3.89
EQIX,Equinix Inc,3.36
PLD,Prologis Inc,3.16
AVB,AvalonBay Communities Inc,2.92
HCN,Health Care REIT Inc,2.91
EQR,Equity Residential,2.73
VTR,Ventas Inc,2.66
BXP,Boston Properties Inc,2.47
VNO,Vornado Realty Trust,2.22
DLR,Digital Realty Trust Inc,2.1
O,Realty Income Corp,1.89
ESS,Essex Property Trust Inc,1.8
GGP,General Growth Properties Inc,1.75
HCP,HCP Inc,1.69
HST,Host Hotels & Resorts Inc,1.64
SLG,SL Green Realty Corp,1.34
MAA,Mid-America Apartment Communities Inc,1.32
KIM,Kimco Realty Corp,1.28
FRT,Federal Realty Investment Trust,1.23
UDR,UDR Inc,1.14
EXR,Extra Space Storage Inc,1.11
IRM,Iron Mountain Inc,1.1
ARE,Alexandria Real Estate Equities Inc,1.06
DRE,Duke Realty Corp,1.04
MAC,Macerich Co,1.03
VER,VEREIT Inc,0.99
BRX,Brixmor Property Group Inc,0.9
CLNS,COLONY NORTHST-A,0.89
CPT,Camden Property Trust,0.89
REG,Regency Centers Corp,0.89
KRC,Kilroy Realty Corp,0.84
AIV,Apartment Investment & Management Co,0.84
NNN,National Retail Properties Inc,0.78
ACC,American Campus Communities Inc,0.78
WPC,WP Carey Inc,0.76
OHI,Omega Healthcare Investors Inc,0.76
ELS,Equity LifeStyle Properties Inc,0.73
GLPI,Gaming and Leisure Properties Inc,0.72
LPT,Liberty Property Trust,0.69
FCE.A,Forest City Enterprises Inc,0.67
DEI,Douglas Emmett Inc,0.66
SUI,Sun Communities Inc,0.66
HPP,Hudson Pacific Properties Inc,0.63
HIW,Highwoods Properties Inc,0.62
HPT,Hospitality Properties Trust,0.62
SRC,Spirit Realty Capital Inc,0.62
AMH,American Homes 4 Rent,0.58
DDR,DDR Corp,0.58
EPR,EPR Properties,0.57
SNH,Senior Housing Properties Trust,0.55
CUBE,CubeSmart,0.55
WRI,Weingarten Realty Investors,0.53
TCO,Taubman Centers Inc,0.52
DCT,DCT Industrial Trust Inc,0.49
HTA,Healthcare Trust of America Inc,0.49
MPW,Medical Properties Trust Inc,0.47
LSI,LSI Corp,0.45
GPT,Gramercy Property Trust Inc,0.45
EQC,Equity Commonwealth,0.45
STOR,STORE Capital Corp,0.44
DFT,DuPont Fabros Technology Inc,0.44
RPAI,Retail Properties of America Inc,0.43
HR,Healthcare Realty Trust Inc,0.43
LHO,LaSalle Hotel Properties,0.41
APLE,APPLE HOSPITALIT,0.4
SKT,Tanger Factory Outlet Centers Inc,0.4
CXW,Corrections Corp of America,0.4
PK,PARK H&R INC,0.39
SHO,Sunstone Hotel Investors Inc,0.39
PDM,Piedmont Office Realty Trust Inc,0.38
GEO,GEO Group Inc,0.38
FR,First Industrial Realty Trust Inc,0.37
OFC,Corporate Office Properties Trust,0.37
EDR,Education Realty Trust Inc,0.36
PGRE,Paramount Group Inc,0.36
COR,CoreSite Realty Corp,0.35
EQY,Equity One Inc,0.35
NHI,National Health Investors Inc,0.35
RLJ,RLJ Lodging Trust,0.35
CUZ,Cousins Properties Inc,0.34
BDN,Brandywine Realty Trust,0.34
RHP,Ryman Hospitality Properties Inc,0.34
UE,Urban Edge Properties,0.34
CXP,Columbia Property Trust Inc,0.32
AKR,Acadia Realty Trust,0.31
ESRT,Empire State Realty Trust Inc,0.31
DOC,Physicians Realty Trust,0.3
CONE,CyrusOne Inc,0.3
QTS,QTS Realty Trust Inc,0.29
CLI,Mack-Cali Realty Corp,0.29
EGP,EastGroup Properties Inc,0.28
WRE,Washington Real Estate Investment Trust,0.28
ROIC,Retail Opportunity Investments Corp,0.28
LXP,Lexington Realty Trust,0.28
PSB,PS Business Parks Inc,0.28
DRH,DiamondRock Hospitality Co,0.27
CCP,CARE CAPITAL PRO,0.25
SFR,COLONY STARWOOD,0.25
PEB,Pebblebrook Hotel Trust,0.25
KRG,Kite Realty Group Trust,0.24
XHR,Xenia Hotels & Resorts Inc,0.23
LTC,LTC Properties Inc,0.21
WPG,WP GLIMCHER Inc,0.21
CBL,CBL & Associates Properties Inc,0.21
QCP,QUALITY CARE,0.21
SIR,Select Income REIT,0.2
SBRA,Sabra Health Care REIT Inc,0.2
STAG,STAG Industrial Inc,0.2
NYRT,New York REIT Inc,0.2
MORE,Monogram Residential Trust Inc,0.19
CHSP,Chesapeake Lodging Trust,0.18
REXR,Rexford Industrial Realty Inc,0.18
MGP,MGM GROWTH PRO-A,0.18
AAT,American Assets Trust Inc,0.18
INN,Summit Hotel Properties Inc,0.17
GOV,Government Properties Income Trust,0.16
GNL,GLOBAL NET LEASE,0.16
RPT,Ramco-Gershenson Properties Trust,0.15
FSP,Franklin Street Properties Corp,0.15
TRNO,Terreno Realty Corp,0.15
PEI,Pennsylvania Real Estate Investment Trust,0.15
FCPT,FOUR CORNERS PRO,0.15
ADC,Agree Realty Corp,0.14
FCH,FelCor Lodging Trust Inc,0.12
ALX,Alexander's Inc,0.12
NSA,National Storage Affiliates Trust,0.11
CTRE,CareTrust REIT Inc,0.11
PKY,Parkway Properties Inc/Md,0.11
SRG,SERITAGE GROWT-A,0.11
MNR,Monmouth Real Estate Investment Corp,0.11
TIER,Tier REIT Inc,0.1
HT,Hersha Hospitality Trust,0.1
BFS,Saul Centers Inc,0.1
UHT,Universal Health Realty Income Trust,0.09
STAR,iStar Financial Inc,0.09
IRET,Investors Real Estate Trust,0.09
CLDT,Chatham Lodging Trust,0.09
SNR,New Senior Investment Group Inc,0.09
AHT,Ashford Hospitality Trust Inc,0.09
NRE,NORTHSTAR REALTY,0.09
GTY,Getty Realty Corp,0.08
DEA,Easterly Government Properties Inc,0.08
IRT,INDEPENDENCE REA,0.07
FPO,First Potomac Realty Trust,0.07
SBY,Silver Bay Realty Trust Corp,0.07
CDR,Cedar Realty Trust Inc,0.06
GOOD,Gladstone Commercial Corp,0.05
AHH,Armada Hoffler Properties Inc,0.05
WSR,Whitestone REIT,0.04
NXRT,NEXPOINT RESI,0.04
RAS,RAIT Financial Trust,0.04
AHP,Ashford Hospitality Prime Inc,0.03
OLP,One Liberty Properties Inc,0.03
-,WINTHROP REALTY,0.02
UBP,Urstadt Biddle Properties Inc,0.0
