VOOV,9.1017997E8
PCAR,PACCAR Inc,0.12
EMN,Eastman Chemical Co,0.12
PSA,Public Storage,0.12
CCI,Crown Castle International Corp,0.12
SLG,SL Green Realty Corp,0.12
MOS,Mosaic Co,0.12
PRGO,Perrigo Co PLC,0.12
CNC,Centene Corp,0.11
DVN,Devon Energy Corp,0.11
UNM,Unum Group,0.11
DHI,DR Horton Inc,0.11
XL,XL Group PLC,0.11
DVA,DaVita HealthCare Partners Inc,0.11
KEY,KeyCorp,0.11
ARNC,ARCONIC INC,0.1
NBL,Noble Energy Inc,0.1
PNR,Pentair PLC,0.1
HRL,Hormel Foods Corp,0.1
SCG,SCANA Corp,0.1
CA,CA Inc,0.1
SWK,Stanley Black & Decker Inc,0.1
WFM,Whole Foods Market Inc,0.1
CTSH,Cognizant Technology Solutions Corp,0.1
TSO,Tesoro Corp,0.1
VTR,Ventas Inc,0.1
CXO,Concho Resources Inc,0.1
KSU,Kansas City Southern,0.1
AMP,Ameriprise Financial Inc,0.1
VRTX,Vertex Pharmaceuticals Inc,0.1
VNO,Vornado Realty Trust,0.1
WEC,WEC Energy Group Inc,0.09
M,Macy's Inc,0.09
NWL,Newell Rubbermaid Inc,0.09
SYMC,Symantec Corp,0.09
LEN,Lennar Corp,0.09
ROP,Roper Technologies Inc,0.09
PNW,Pinnacle West Capital Corp,0.09
ZION,Zions Bancorporation,0.09
ZBH,Zimmer Biomet Holdings Inc,0.09
GT,Goodyear Tire & Rubber Co,0.09
K,Kellogg Co,0.09
AMG,Affiliated Managers Group Inc,0.09
MAC,Macerich Co,0.09
FCX,Freeport-McMoRan Inc,0.09
APA,Apache Corp,0.09
CF,CF Industries Holdings Inc,0.09
QRVO,Qorvo Inc,0.09
FOX,Twenty-First Century Fox Inc,0.08
BWA,BorgWarner Inc,0.08
TMK,Torchmark Corp,0.08
NUE,Nucor Corp,0.08
LUK,Leucadia National Corp,0.08
FLR,Fluor Corp,0.08
HP,Helmerich & Payne Inc,0.08
LB,L Brands Inc,0.08
LVLT,Level 3 Communications Inc,0.08
SHW,Sherwin-Williams Co,0.08
RCL,Royal Caribbean Cruises Ltd,0.08
EL,Estee Lauder Cos Inc,0.08
AES,AES Corp/VA,0.08
PVH,PVH Corp,0.08
BBY,Best Buy Co Inc,0.08
EQR,Equity Residential,0.08
ILMN,Illumina Inc,0.08
MHK,Mohawk Industries Inc,0.07
NI,NiSource Inc,0.07
JEC,Jacobs Engineering Group Inc,0.07
BXP,Boston Properties Inc,0.07
KSS,Kohl's Corp,0.07
CLX,Clorox Co,0.07
KMX,CarMax Inc,0.07
MNST,Monster Beverage Corp,0.07
ESS,Essex Property Trust Inc,0.07
LLL,L-3 Communications Holdings Inc,0.07
DPS,Dr Pepper Snapple Group Inc,0.07
SRCL,Stericycle Inc,0.07
PH,Parker-Hannifin Corp,0.07
FLS,Flowserve Corp,0.07
PHM,PulteGroup Inc,0.07
