IJK,8.3599995E9
WEN,Wendy's Co,0.3
WSO,Watsco Inc,0.3
RNR,RenaissanceRe Holdings Ltd,0.3
CRL,Charles River Laboratories International Inc,0.3
CNK,Cinemark Holdings Inc,0.29
MTX,Minerals Technologies Inc,0.29
BWLD,Buffalo Wild Wings Inc,0.29
WPX,WPX Energy Inc,0.29
SNV,Synovus Financial Corp,0.29
CFR,Cullen/Frost Bankers Inc,0.29
HRC,Hill-Rom Holdings Inc,0.29
LANC,Lancaster Colony Corp,0.29
PII,Polaris Industries Inc,0.28
BOH,Bank of Hawaii Corp,0.28
HR,Healthcare Realty Trust Inc,0.28
MANH,Manhattan Associates Inc,0.27
DLX,Deluxe Corp,0.27
CHFC,Chemical Financial Corp,0.26
NEU,NewMarket Corp,0.25
UMBF,UMB Financial Corp,0.25
WOR,Worthington Industries Inc,0.25
AMCX,AMC Networks Inc,0.25
SXT,Sensient Technologies Corp,0.25
ATR,AptarGroup Inc,0.25
TCO,Taubman Centers Inc,0.25
OFC,Corporate Office Properties Trust,0.24
BID,Sotheby's,0.24
MSA,MSA Safety Inc,0.24
VSAT,ViaSat Inc,0.24
SKT,Tanger Factory Outlet Centers Inc,0.24
ENR,Energizer Holdings Inc,0.24
EAT,Brinker International Inc,0.24
EGN,Energen Corp,0.23
BKH,Black Hills Corp,0.23
BIO,Bio-Rad Laboratories Inc,0.23
CVLT,CommVault Systems Inc,0.23
GVA,Granite Construction Inc,0.23
VSM,VERSUM MATERIALS INC,0.23
ARRS,ARRIS Group Inc,0.23
PZZA,Papa John's International Inc,0.23
WGL,WGL Holdings Inc,0.22
AKRX,Akorn Inc,0.22
LYV,Live Nation Entertainment Inc,0.22
GWR,Genesee & Wyoming Inc,0.22
PTEN,Patterson-UTI Energy Inc,0.22
CONE,CyrusOne Inc,0.22
WBMD,WebMD Health Corp,0.21
CHDN,Churchill Downs Inc,0.21
CY,Cypress Semiconductor Corp,0.21
EME,EMCOR Group Inc,0.21
NUS,Nu Skin Enterprises Inc,0.2
VMI,Valmont Industries Inc,0.2
MBFI,MB Financial Inc,0.2
PBH,Prestige Brands Holdings Inc,0.19
GEO,GEO Group Inc,0.19
NATI,National Instruments Corp,0.19
SBH,Sally Beauty Holdings Inc,0.19
PRXL,PAREXEL International Corp,0.18
FULT,Fulton Financial Corp,0.18
RYN,Rayonier Inc,0.17
JOY,Joy Global Inc,0.17
UE,Urban Edge Properties,0.17
GPOR,Gulfport Energy Corp,0.17
DY,Dycom Industries Inc,0.17
CTLT,Catalent Inc,0.17
CLI,Mack-Cali Realty Corp,0.16
BDC,Belden Inc,0.16
KMT,Kennametal Inc,0.16
CEB,CEB Inc,0.15
CAB,Cabela's Inc,0.14
TUP,Tupperware Brands Corp,0.14
TPX,Tempur Sealy International Inc,0.14
PLT,Plantronics Inc,0.14
MDP,Meredith Corp,0.14
SFM,Sprouts Farmers Market Inc,0.13
ACIW,ACI Worldwide Inc,0.13
QEP,QEP Resources Inc,0.13
HNI,HNI Corp,0.13
PCH,Potlatch Corp,0.13
FII,Federated Investors Inc,0.13
CMP,Compass Minerals International Inc,0.12
JW.A,John Wiley & Sons Inc,0.12
ALEX,Alexander & Baldwin Inc,0.12
DDD,3D Systems Corp,0.12
IBOC,International Bancshares Corp,0.12
GATX,GATX Corp,0.11
SM,SM Energy Co,0.11
TRMK,Trustmark Corp,0.11
ACXM,Acxiom Corp,0.11
GMED,Globus Medical Inc,0.1
DECK,Deckers Outdoor Corp,0.1
SPN,Superior Energy Services Inc,0.09
CVG,Convergys Corp,0.09
CHS,Chico's FAS Inc,0.09
SAM,Boston Beer Co Inc,0.08
WETF,WisdomTree Investments Inc,0.07
VSTO,Vista Outdoor Inc,0.06
TR,Tootsie Roll Industries Inc,0.05
DNR,Denbury Resources Inc,0.04
