NFRA,8.8180998E8
9009 JP,KEISEI ELECTRIC RAILWAY CO LTD COMMON STOCK JPY,0.28
CHTR,CHARTER COMMUNICATIONS INC COMMON STOCK USD 0.001,0.27
DISH,DISH NETWORK CORP COMMON STOCK USD 0.01,0.27
270 HK,GUANGDONG INVESTMENT LTD COMMON STOCK HKD 0,0.27
CTL,CENTURYLINK INC COMMON STOCK USD 1,0.26
ENG SM,ENAGAS SA COMMON STOCK EUR 1.5,0.26
144 HK,CHINA MERCHANTS PORT HOLDINGS CO LTD COMMON STOCK,0.24
KSU,KANSAS CITY SOUTHERN COMMON STOCK USD 0.01,0.24
371 HK,BEIJING ENTERPRISES WATER GROUP LTD COMMON STOCK,0.24
KEY,KEYERA CORP COMMON STOCK CAD 0,0.24
GAPB MM,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV COMMON,0.23
SBSP3 BZ,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,0.22
257 HK,CHINA EVERBRIGHT INTERNATIONAL LTD COMMON STOCK,0.22
HSO.AX,HEALTHSCOPE LTD NPV,0.21
NTC SJ,NETCARE LTD COMMON STOCK ZAR 1,0.19
9706 JP,JAPAN AIRPORT TERMINAL CO LTD COMMON STOCK JPY,0.19
KPN NA,KONINKLIJKE KPN NV COMMON STOCK EUR 0.04,0.19
ICT PM,INTERNATIONAL CONTAINER TERMINAL SERVICES INC,0.19
SRCL,STERICYCLE INC COMMON STOCK USD 0.01,0.18
036460 KS,KOREA GAS CORP COMMON STOCK KRW 5000,0.18
LHC SJ,LIFE HEALTHCARE GROUP HOLDINGS LTD COMMON STOCK,0.18
BPOST BB,BPOST SA COMMON STOCK EUR,0.17
MPI PM,METRO PACIFIC INVESTMENTS CORP COMMON STOCK PHP 1,0.15
SESG FP,SES SA RECEIPT EUR 0,0.15
PINFRA* MM,PROMOTORA Y OPERADORA DE INFRAESTRUCTURA SAB DE CV,0.15
WTR,AQUA AMERICA INC COMMON STOCK USD 0.5,0.14
VSN,VERESEN INC COMMON STOCK CAD 0,0.14
PNL NA,POSTNL NV COMMON STOCK EUR 0.08,0.14
PTG MK,PETRONAS GAS BHD COMMON STOCK MYR 1,0.13
BH-R TB,BUMRUNGRAD HOSPITAL PCL NVDR THB 1,0.13
PGN PW,POLSKIE GORNICTWO NAFTOWE I GAZOWNICTWO SA COMMON,0.12
VPK NA,KONINKLIJKE VOPAK NV COMMON STOCK EUR 0.5,0.12
177 HK,JIANGSU EXPRESSWAY CO LTD COMMON STOCK HKD 1,0.12
392 HK,BEIJING ENTERPRISES HOLDINGS LTD COMMON STOCK HKD,0.12
MQA.AX,MACQUARIE ATLAS ROADS GROUP STAPLED SECURITY AUD,0.12
1199 H2,COSCO SHIPPING PORTS LTD COMMON STOCK HKD 0.1,0.11
AGUAS.A CI,AGUAS ANDINAS SA COMMON STOCK CLP 0,0.11
CWY.AX,CLEANAWAY WASTE MANAGEMENT LTD COMMON STOCK AUD 0,0.11
SPOST SP,SINGAPORE POST LTD COMMON STOCK SGD 0,0.09
CXW,CORECIVIC INC,0.09
POST AV,OESTERREICHISCHE POST AG COMMON STOCK EUR,0.09
GEO,GEO GROUP INC/THE REIT USD 0.01,0.08
CLH,CLEAN HARBORS INC COMMON STOCK USD 0.01,0.08
WTE,WESTSHORE TERMINALS INVESTMENT CORP COMMON STOCK,0.07
LPNT,LIFEPOINT HEALTH INC COMMON STOCK USD 0.01,0.07
DFT,DUPONT FABROS TECHNOLOGY INC REIT USD 0.001,0.07
