VFH,8.2099999E9
JPM,JPMorgan Chase & Co,8.71
WFC,Wells Fargo & Co,7.69
BAC,Bank of America Corp,6.58
BRK.B,Berkshire Hathaway Inc,5.69
C,Citigroup Inc,4.62
USB,US Bancorp,2.56
GS,Goldman Sachs Group Inc,2.38
AIG,American International Group Inc,1.96
CB,Chubb Corp,1.74
MS,Morgan Stanley,1.73
AXP,American Express Co,1.7
PNC,PNC Financial Services Group Inc,1.68
MET,MetLife Inc,1.44
SCHW,Charles Schwab Corp,1.39
BK,Bank of New York Mellon Corp,1.36
PRU,Prudential Financial Inc,1.3
BLK,BlackRock Inc,1.3
COF,Capital One Financial Corp,1.26
CME,CME Group Inc/IL,1.16
BBT,BB&T Corp,1.07
MMC,Marsh & McLennan Cos Inc,1.0
ICE,Intercontinental Exchange Inc,0.99
TRV,Travelers Cos Inc,0.96
SPGI,S&P GLOBAL INC,0.9
AON,Aon PLC,0.85
SYF,Synchrony Financial,0.85
STT,State Street Corp,0.84
AFL,Aflac Inc,0.81
STI,SunTrust Banks Inc,0.8
DFS,Discover Financial Services,0.79
ALL,Allstate Corp,0.79
MTB,M&T Bank Corp,0.65
PGR,Progressive Corp,0.62
FITB,Fifth Third Bancorp,0.57
KEY,KeyCorp,0.55
HIG,Hartford Financial Services Group Inc,0.53
CFG,Citizens Financial Group Inc,0.53
AMP,Ameriprise Financial Inc,0.51
RF,Regions Financial Corp,0.51
MCO,Moody's Corp,0.51
NTRS,Northern Trust Corp,0.5
TROW,T Rowe Price Group Inc,0.47
PFG,Principal Financial Group Inc,0.46
WLTW,WILLIS TOWERS WA,0.46
LNC,Lincoln National Corp,0.44
BEN,Franklin Resources Inc,0.42
HBAN,Huntington Bancshares Inc/OH,0.41
FRC,First Republic Bank/CA,0.4
L,Loews Corp,0.38
MKL,Markel Corp,0.36
AMTD,TD Ameritrade Holding Corp,0.34
IVZ,Invesco Ltd,0.33
CMA,Comerica Inc,0.33
CINF,Cincinnati Financial Corp,0.31
ACGL,Arch Capital Group Ltd,0.3
UNM,Unum Group,0.3
XL,XL Group PLC,0.29
ETFC,E*TRADE Financial Corp,0.29
NLY,Annaly Capital Management Inc,0.29
RJF,Raymond James Financial Inc,0.27
AJG,Arthur J Gallagher & Co,0.27
Y,Alleghany Corp,0.26
RE,Everest Re Group Ltd,0.26
ALLY,Ally Financial Inc,0.26
SIVB,SVB Financial Group,0.25
FNF,FNF Group,0.24
ZION,Zions Bancorporation,0.24
SBNY,Signature Bank/New York NY,0.24
TMK,Torchmark Corp,0.23
CIT,CIT Group Inc,0.23
AMG,Affiliated Managers Group Inc,0.23
NDAQ,NASDAQ OMX Group Inc,0.23
VOYA,Voya Financial Inc,0.23
RGA,Reinsurance Group of America Inc,0.22
LUK,Leucadia National Corp,0.22
MSCI,MSCI Inc,0.21
EWBC,East West Bancorp Inc,0.21
NYCB,New York Community Bancorp Inc,0.21
MKTX,MarketAxess Holdings Inc,0.2
FDS,FactSet Research Systems Inc,0.2
SEIC,SEI Investments Co,0.19
WRB,WR Berkley Corp,0.18
CBOE,CBOE Holdings Inc,0.18
PACW,PacWest Bancorp,0.18
AGNC,American Capital Agency Corp,0.17
AFG,American Financial Group Inc/OH,0.17
ENH,Endurance Specialty Holdings Ltd,0.17
AIZ,Assurant Inc,0.16
PBCT,People's United Financial Inc,0.16
AXS,Axis Capital Holdings Ltd,0.16
STWD,Starwood Property Trust Inc,0.16
OZRK,Bank of the Ozarks Inc,0.16
RNR,RenaissanceRe Holdings Ltd,0.16
CBSH,Commerce Bancshares Inc/MO,0.14
AGO,Assured Guaranty Ltd,0.14
SNV,Synovus Financial Corp,0.14
ORI,Old Republic International Corp,0.14
BRO,Brown & Brown Inc,0.14
CFR,Cullen/Frost Bankers Inc,0.14
WBS,Webster Financial Corp,0.13
PB,Prosperity Bancshares Inc,0.13
NAVI,Navient Corp,0.13
EV,Eaton Vance Corp,0.13
WAL,Western Alliance Bancorp,0.13
FHN,First Horizon National Corp,0.13
AWH,Allied World Assurance Co Holdings AG,0.13
BPOP,Popular Inc,0.13
VR,Validus Holdings Ltd,0.13
WTM,White Mountains Insurance Group Ltd,0.12
ISBC,Investors Bancorp Inc,0.12
NRZ,New Residential Investment Corp,0.12
UMPQ,Umpqua Holdings Corp,0.11
BKU,BankUnited Inc,0.11
