IGM,1.39E9
AEIS,Advanced Energy Industries Inc,0.05
CREE,Cree Inc,0.05
P,Pandora Media Inc,0.04
ACIW,ACI Worldwide Inc,0.04
FSLR,First Solar Inc,0.04
SATS,EchoStar Corp,0.04
VRNT,Verint Systems Inc,0.04
LITE,Lumentum Holdings Inc,0.04
LEXEA,LIBERTY EXPEDIA HOLDINGS INC SERIE,0.04
AXE,Anixter International Inc,0.04
VIAV,VIAVI SOLUTIONS INC,0.04
PAYC,Paycom Software Inc,0.04
SMTC,Semtech Corp,0.04
TIVO,TiVo Inc,0.04
ACXM,Acxiom Corp,0.04
ZNGA,Zynga Inc,0.04
VSH,Vishay Intertechnology Inc,0.04
EFII,Electronics For Imaging Inc,0.04
DBD,Diebold Inc,0.04
ZG,Zillow Group Inc,0.03
CATM,Cardtronics Inc,0.03
CVLT,CommVault Systems Inc,0.03
PAY,VeriFone Systems Inc,0.03
STMP,Stamps.com Inc,0.03
ZEN,Zendesk Inc,0.03
CVG,Convergys Corp,0.03
CSOD,Cornerstone OnDemand Inc,0.03
YELP,Yelp Inc,0.03
WBMD,WebMD Health Corp,0.03
ITRI,Itron Inc,0.03
HUBS,HubSpot Inc,0.03
HAWK,Blackhawk Network Holdings Inc,0.03
PLXS,Plexus Corp,0.03
POWI,Power Integrations Inc,0.03
RP,RealPage Inc,0.03
GDDY,GoDaddy Inc,0.03
IIVI,II-VI Inc,0.03
PLT,Plantronics Inc,0.03
MSTR,MicroStrategy Inc,0.03
NTGR,NETGEAR Inc,0.03
SYNA,Synaptics Inc,0.03
CCMP,Cabot Microelectronics Corp,0.03
CLS,Celestica Inc,0.03
KN,Knowles Corp,0.03
MEI,Methode Electronics Inc,0.03
XPER,XPERI CORP,0.03
NSR,NeuStar Inc,0.03
IPHI,Inphi Corp,0.03
FEYE,FireEye Inc,0.03
SFLY,Shutterfly Inc,0.03
MTSI,M/A-COM Technology Solutions Holdings Inc,0.03
PEGA,Pegasystems Inc,0.02
GRPN,Groupon Inc,0.02
TWOU,2U Inc,0.02
ENV,Envestnet Inc,0.02
BHE,Benchmark Electronics Inc,0.02
DDD,3D Systems Corp,0.02
EXLS,ExlService Holdings Inc,0.02
TVPT,Travelport Worldwide Ltd,0.02
INFN,Infinera Corp,0.02
FN,Fabrinet,0.02
RMBS,Rambus Inc,0.02
PRGS,Progress Software Corp,0.02
EBIX,Ebix Inc,0.02
AMKR,Amkor Technology Inc,0.02
UBNT,Ubiquiti Networks Inc,0.02
EGOV,NIC Inc,0.02
OSIS,OSI Systems Inc,0.02
XXIA,Ixia,0.02
CSGS,CSG Systems International Inc,0.02
IMPV,Imperva Inc,0.02
VECO,Veeco Instruments Inc,0.02
NEWR,New Relic Inc,0.02
HSNI,HSN Inc,0.02
W,Wayfair Inc,0.02
OCLR,Oclaro Inc,0.02
SNCR,Synchronoss Technologies Inc,0.02
GIMO,Gigamon Inc,0.02
EVTC,EVERTEC Inc,0.01
ADTN,ADTRAN Inc,0.01
WEB,Web.com Group Inc,0.01
ETSY,Etsy Inc,0.01
LTRPA,Liberty TripAdvisor Holdings Inc,0.01
DIOD,Diodes Inc,0.01
SMCI,Super Micro Computer Inc,0.01
MANT,ManTech International Corp/VA,0.01
BKFS,BLACK KNIGHT FINANCIAL SERVICES IN,0.01
PCTY,Paylocity Holding Corp,0.01
CRAY,Cray Inc,0.01
FIT,Fitbit Inc,0.01
SSTK,Shutterstock Inc,0.01
AVX,AVX Corp,0.01
ACIA,ACACIA COMMUNICATIONS INC,0.01
GOGO,Gogo Inc,0.01
CUDA,Barracuda Networks Inc,0.01
EIGI,Endurance International Group Holdings Inc,0.0
SYNT,Syntel Inc,0.0
TTEC,TeleTech Holdings Inc,0.0
RATE,Bankrate Inc,0.0
SPWR,SunPower Corp,0.0
