IJJ,6.0500004E9
DBD,Diebold Inc,0.26
CTLT,Catalent Inc,0.26
EV,Eaton Vance Corp,0.26
FDS,FactSet Research Systems Inc,0.26
ENDP,ENDO INTERNATIONAL PLC,0.26
CNK,Cinemark Holdings Inc,0.26
KMPR,Kemper Corp,0.25
DRQ,Dril-Quip Inc,0.25
PAY,VeriFone Systems Inc,0.25
RDC,Rowan Cos Plc,0.25
EME,EMCOR Group Inc,0.25
RYN,Rayonier Inc,0.25
KBR,KBR Inc,0.25
PTC,PTC Inc,0.24
UTHR,United Therapeutics Corp,0.24
QEP,QEP Resources Inc,0.24
DV,DeVry Education Group Inc,0.24
NEU,NewMarket Corp,0.24
MOH,Molina Healthcare Inc,0.24
AAN,Aaron's Inc,0.24
AVP,Avon Products Inc,0.23
LYV,Live Nation Entertainment Inc,0.23
TIME,Time Inc,0.23
TCO,Taubman Centers Inc,0.23
CONE,CyrusOne Inc,0.23
HYH,Halyard Health Inc,0.23
ATI,Allegheny Technologies Inc,0.23
EPR,EPR Properties,0.23
TUP,Tupperware Brands Corp,0.23
JNS,Janus Capital Group Inc,0.23
WSO,Watsco Inc,0.23
TPH,TRI Pointe Group Inc,0.23
WBS,Webster Financial Corp,0.23
JCP,JC Penney Co Inc,0.23
MLHR,Herman Miller Inc,0.22
FCN,FTI Consulting Inc,0.22
NATI,National Instruments Corp,0.22
PRXL,PAREXEL International Corp,0.22
GNW,Genworth Financial Inc,0.22
QCP,QUALITY CARE PROPERTIES INC,0.22
NYT,New York Times Co,0.22
DNOW,NOW Inc,0.22
BRCD,Brocade Communications Systems Inc,0.22
DF,Dean Foods Co,0.21
DCI,Donaldson Co Inc,0.21
VMI,Valmont Industries Inc,0.21
PVTB,PrivateBancorp Inc,0.21
CRL,Charles River Laboratories International Inc,0.21
CRS,Carpenter Technology Corp,0.2
SYNA,Synaptics Inc,0.2
WPG,WP GLIMCHER Inc,0.2
HRC,Hill-Rom Holdings Inc,0.2
KMT,Kennametal Inc,0.2
OIS,Oil States International Inc,0.2
KBH,KB Home,0.2
FULT,Fulton Financial Corp,0.2
KN,Knowles Corp,0.2
GEO,GEO Group Inc,0.2
WDR,Waddell & Reed Financial Inc,0.19
TDY,Teledyne Technologies Inc,0.19
NE,Noble Corp plc,0.19
BKH,Black Hills Corp,0.18
BDC,Belden Inc,0.18
DY,Dycom Industries Inc,0.18
SXT,Sensient Technologies Corp,0.18
THC,Tenet Healthcare Corp,0.17
GEF,Greif Inc,0.17
ACIW,ACI Worldwide Inc,0.17
CHFC,Chemical Financial Corp,0.17
ENR,Energizer Holdings Inc,0.17
GATX,GATX Corp,0.17
MBFI,MB Financial Inc,0.17
DDS,Dillard's Inc,0.17
CMP,Compass Minerals International Inc,0.17
PBH,Prestige Brands Holdings Inc,0.17
SBH,Sally Beauty Holdings Inc,0.16
JW.A,John Wiley & Sons Inc,0.16
DLX,Deluxe Corp,0.16
AMCX,AMC Networks Inc,0.15
WERN,Werner Enterprises Inc,0.15
SFM,Sprouts Farmers Market Inc,0.15
CVG,Convergys Corp,0.15
ACXM,Acxiom Corp,0.15
VSM,VERSUM MATERIALS INC,0.15
SPN,Superior Energy Services Inc,0.15
JOY,Joy Global Inc,0.15
MANH,Manhattan Associates Inc,0.14
CEB,CEB Inc,0.14
VSAT,ViaSat Inc,0.14
CBRL,Cracker Barrel Old Country Store Inc,0.14
HSNI,HSN Inc,0.14
TRMK,Trustmark Corp,0.14
CAB,Cabela's Inc,0.14
BOH,Bank of Hawaii Corp,0.14
HR,Healthcare Realty Trust Inc,0.14
UMBF,UMB Financial Corp,0.14
FII,Federated Investors Inc,0.14
GMED,Globus Medical Inc,0.13
SM,SM Energy Co,0.13
OFC,Corporate Office Properties Trust,0.13
GPOR,Gulfport Energy Corp,0.13
NSR,NeuStar Inc,0.13
SKT,Tanger Factory Outlet Centers Inc,0.12
CLI,Mack-Cali Realty Corp,0.12
IBOC,International Bancshares Corp,0.12
MDP,Meredith Corp,0.12
