VGT,1.8799999E10
PRGS,Progress Software Corp,0.02
KLIC,KULICKE & SOFFA,0.02
BSFT,BroadSoft Inc,0.02
IMPV,Imperva Inc,0.02
TWOU,2U Inc,0.02
TTMI,TTM Technologies Inc,0.02
BRKS,Brooks Automation Inc,0.02
RNG,RingCentral Inc,0.02
SPSC,SPS Commerce Inc,0.02
HUBS,HubSpot Inc,0.02
CALD,Callidus Software Inc,0.02
BMI,Badger Meter Inc,0.02
XXIA,Ixia,0.02
INVN,InvenSense Inc,0.02
SYKE,Sykes Enterprises Inc,0.02
EVTC,EVERTEC Inc,0.02
EPAY,Bottomline Technologies de Inc,0.02
ADTN,ADTRAN Inc,0.02
SSTK,Shutterstock Inc,0.02
VECO,Veeco Instruments Inc,0.02
DIOD,Diodes Inc,0.02
SMCI,Super Micro Computer Inc,0.02
SCSC,ScanSource Inc,0.02
AMKR,Amkor Technology Inc,0.02
QLYS,Qualys Inc,0.02
MANT,ManTech International Corp/VA,0.02
MTSC,MTS Systems Corp,0.02
GIMO,Gigamon Inc,0.01
NEWR,New Relic Inc,0.01
TYPE,Monotype Imaging Holdings Inc,0.01
BKFS,BLACK KNIGHT F-A,0.01
LSCC,Lattice Semiconductor Corp,0.01
FORM,FormFactor Inc,0.01
QTWO,Q2 Holdings Inc,0.01
AVX,AVX Corp,0.01
WEB,WEB.COM GROUP,0.01
FIT,Fitbit Inc,0.01
GTT,GTT Communications Inc,0.01
PLAB,Photronics Inc,0.01
BOX,Box Inc,0.01
PLUS,ePlus Inc,0.01
CEVA,CEVA Inc,0.01
NOVT,NOVANTA INC,0.01
VRTU,Virtusa Corp,0.01
CASS,Cass Information Systems Inc,0.01
PCTY,Paylocity Holding Corp,0.01
MTCH,MATCH GROUP INC,0.01
SYNT,Syntel Inc,0.01
QUOT,QUOTIENT TECHNOL,0.01
CRAY,Cray Inc,0.01
RTEC,Rudolph Technologies Inc,0.01
ELNK,EarthLink Holdings Corp,0.01
UTEK,Ultratech Inc,0.01
CTS,CTS Corp,0.01
PRFT,Perficient Inc,0.01
MITL,Mitel Networks Corp,0.01
TWLO,TWILIO INC - A,0.01
NANO,Nanometrics Inc,0.01
FARO,FARO Technologies Inc,0.01
UIS,Unisys Corp,0.01
TRUE,TrueCar Inc,0.01
BCOR,Blucora Inc,0.01
FIVN,Five9 Inc,0.01
RATE,Bankrate Inc,0.01
PDFS,PDF Solutions Inc,0.01
UEPS,Net 1 UEPS Technologies Inc,0.01
PRO,PROS Holdings Inc,0.01
CUDA,Barracuda Networks Inc,0.01
EIGI,Endurance International Group Holdings Inc,0.01
CAMP,CalAmp Corp,0.01
GOGO,Gogo Inc,0.01
NMBL,Nimble Storage Inc,0.01
TTEC,TeleTech Holdings Inc,0.01
XOXO,XO Group Inc,0.01
KE,Kimball Electronics Inc,0.01
SHOR,ShoreTel Inc,0.01
VDSI,VASCO Data Security International Inc,0.0
ACTA,Actua Corp,0.0
NTNX,NUTANIX INC - A,0.0
PSTG,PURE STORAGE-A,0.0
EXAR,Exar Corp,0.0
SSNI,Silver Spring Networks Inc,0.0
CHUBK,COMMERCEHUB-C,0.0
HLIT,Harmonic Inc,0.0
SPWR,SunPower Corp,0.0
LPSN,LivePerson Inc,0.0
BNFT,Benefitfocus Inc,0.0
SYX,Systemax Inc,0.0
EVRI,EVERI HOLDINGS I,0.0
MB,MINDBODY Inc,0.0
TNGO,Tangoe Inc,0.0
CMTL,Comtech Telecommunications Corp,0.0
ANGI,Angie's List Inc,0.0
GLUU,Glu Mobile Inc,0.0
WK,Workiva Inc,0.0
DHX,DHI Group Inc,0.0
CHUBA,COMMERCEHUB-A,0.0
RPD,Rapid7 Inc,0.0
JIVE,Jive Software Inc,0.0
ENOC,EnerNOC Inc,0.0
BBOX,Black Box Corp,0.0
FUEL,Rocket Fuel Inc,0.0
INAP,Internap Corp,0.0
PMTS,CPI CARD GROUP I,0.0
APPF,Appfolio Inc,0.0
AVID,Avid Technology Inc,0.0
MOBL,MobileIron Inc,0.0
INST,INSTRUCTURE INC,0.0
KODK,Eastman Kodak Co,0.0
BV,Bazaarvoice Inc,0.0
VRNS,Varonis Systems Inc,0.0
FORR,Forrester Research Inc,0.0
ATEN,A10 Networks Inc,0.0
PKE,Park Electrochemical Corp,0.0
AOSL,Alpha & Omega Semiconductor Ltd,0.0
MGI,MoneyGram International Inc,0.0
DAKT,Daktronics Inc,0.0
HDP,Hortonworks Inc,0.0
CNXN,PC CONNECTION,0.0
NPTN,NeoPhotonics Corp,0.0
RUBI,Rubicon Project Inc,0.0
SALE,RetailMeNot Inc,0.0
QADA,QAD Inc,0.0
IXYS,IXYS Corp,0.0
SEDG,SolarEdge Technologies Inc,0.0
ALRM,Alarm.com Holdings Inc,0.0
SONS,Sonus Networks Inc,0.0
CALX,Calix Inc,0.0
XCRA,Xcerra Corp,0.0
