IVOG,9.7338003E8
MPWR,Monolithic Power Systems Inc,0.37
BRCD,Brocade Communications Systems Inc,0.37
TER,Teradyne Inc,0.37
LW,LAMB WESTON,0.37
IDCC,InterDigital Inc/PA,0.36
WBS,Webster Financial Corp,0.35
ISIL,Intersil Corp,0.35
CLGX,CoreLogic Inc/United States,0.35
FR,First Industrial Realty Trust Inc,0.34
TXRH,Texas Roadhouse Inc,0.34
HIW,Highwoods Properties Inc,0.34
CABO,Cable One Inc,0.34
EV,Eaton Vance Corp,0.34
EDR,Education Realty Trust Inc,0.33
WAFD,Washington Federal Inc,0.33
TDY,Teledyne Technologies Inc,0.33
EQY,Equity One Inc,0.33
WPX,WPX Energy Inc,0.33
EPR,EPR Properties,0.33
SON,Sonoco Products Co,0.32
X,United States Steel Corp,0.32
WTR,Aqua America Inc,0.32
MTX,Minerals Technologies Inc,0.32
BWLD,Buffalo Wild Wings Inc,0.31
PVTB,PrivateBancorp Inc,0.31
CBRL,Cracker Barrel Old Country Store Inc,0.31
SLAB,Silicon Laboratories Inc,0.31
WEN,Wendy's Co,0.31
OSK,Oshkosh Corp,0.31
CAKE,Cheesecake Factory Inc,0.3
NFG,National Fuel Gas Co,0.3
SNV,Synovus Financial Corp,0.29
CC,Chemours Co,0.29
RNR,RenaissanceRe Holdings Ltd,0.29
BOH,Bank of Hawaii Corp,0.29
CNK,Cinemark Holdings Inc,0.29
CFR,Cullen/Frost Bankers Inc,0.29
LANC,Lancaster Colony Corp,0.29
HR,Healthcare Realty Trust Inc,0.28
MANH,Manhattan Associates Inc,0.28
PII,Polaris Industries Inc,0.27
KATE,Kate Spade & Co,0.27
CRL,Charles River Laboratories International Inc,0.27
WSO,Watsco Inc,0.27
TCO,Taubman Centers Inc,0.27
DLX,Deluxe Corp,0.26
UMBF,UMB Financial Corp,0.26
SKT,Tanger Factory Outlet Centers Inc,0.26
PZZA,Papa John's International Inc,0.26
ARRS,ARRIS Group Inc,0.25
MSA,MSA Safety Inc,0.25
GVA,Granite Construction Inc,0.25
EAT,Brinker International Inc,0.25
AMCX,AMC Networks Inc,0.25
EGN,Energen Corp,0.25
CHFC,Chemical Financial Corp,0.25
NEU,NewMarket Corp,0.25
HRC,Hill-Rom Holdings Inc,0.25
VSAT,ViaSat Inc,0.25
GWR,Genesee & Wyoming Inc,0.25
SXT,Sensient Technologies Corp,0.24
PTEN,Patterson-UTI Energy Inc,0.24
ATR,AptarGroup Inc,0.24
WOR,Worthington Industries Inc,0.24
OFC,Corporate Office Properties Trust,0.24
CVLT,CommVault Systems Inc,0.23
EME,EMCOR Group Inc,0.23
WGL,WGL Holdings Inc,0.23
BKH,Black Hills Corp,0.23
LYV,Live Nation Entertainment Inc,0.22
BIO,Bio-Rad Laboratories Inc,0.22
ENR,Energizer Holdings Inc,0.22
SBH,Sally Beauty Holdings Inc,0.22
VSM,VERSUM MATER,0.22
GPOR,Gulfport Energy Corp,0.21
PRXL,PAREXEL International Corp,0.21
WBMD,WebMD Health Corp,0.21
BID,Sotheby's,0.21
MBFI,MB Financial Inc,0.2
CHDN,Churchill Downs Inc,0.2
VMI,Valmont Industries Inc,0.19
AKRX,Akorn Inc,0.19
UE,Urban Edge Properties,0.19
NATI,National Instruments Corp,0.18
BDC,Belden Inc,0.18
CY,Cypress Semiconductor Corp,0.18
PBH,Prestige Brands Holdings Inc,0.18
QEP,QEP Resources Inc,0.18
CAB,Cabela's Inc,0.18
FULT,Fulton Financial Corp,0.18
JOY,Joy Global Inc,0.18
RYN,Rayonier Inc,0.17
CLI,Mack-Cali Realty Corp,0.17
SM,SM Energy Co,0.16
CTLT,Catalent Inc,0.16
CEB,CEB Inc,0.15
KMT,Kennametal Inc,0.15
HNI,HNI Corp,0.15
PLT,Plantronics Inc,0.15
DY,Dycom Industries Inc,0.14
TUP,Tupperware Brands Corp,0.14
TPX,Tempur Sealy International Inc,0.14
CMP,Compass Minerals International Inc,0.14
MDP,Meredith Corp,0.14
DDD,3D Systems Corp,0.14
SFM,Sprouts Farmers Market Inc,0.14
FII,Federated Investors Inc,0.13
JW.A,John Wiley & Sons Inc,0.13
ALEX,Alexander & Baldwin Inc,0.13
PCH,Potlatch Corp,0.12
SPN,Superior Energy Services Inc,0.12
IBOC,International Bancshares Corp,0.12
ACIW,ACI Worldwide Inc,0.12
TRMK,Trustmark Corp,0.12
CVG,Convergys Corp,0.11
GATX,GATX CORP,0.11
DECK,Deckers Outdoor Corp,0.1
ACXM,Acxiom Corp,0.1
GMED,Globus Medical Inc,0.1
CHS,Chico's FAS Inc,0.09
SAM,Boston Beer Co Inc,0.08
VSTO,Vista Outdoor Inc,0.08
WETF,WisdomTree Investments Inc,0.08
SCOR,comScore Inc,0.07
DNR,Denbury Resources Inc,0.06
TR,Tootsie Roll Industries Inc,0.05
