IYF,2.2E9
RLJ,RLJ Lodging Trust,0.06
BDN,Brandywine Realty Trust,0.06
FULT,Fulton Financial Corp,0.06
RHP,Ryman Hospitality Properties Inc,0.06
SHO,Sunstone Hotel Investors Inc,0.06
NHI,National Health Investors Inc,0.05
FFIN,First Financial Bankshares Inc,0.05
CUZ,Cousins Properties Inc,0.05
CXP,Columbia Property Trust Inc,0.05
GBCI,Glacier Bancorp Inc,0.05
BXS,BancorpSouth Inc,0.05
DOC,Physicians Realty Trust,0.05
AKR,Acadia Realty Trust,0.05
CLI,Mack-Cali Realty Corp,0.05
UE,Urban Edge Properties,0.05
EGP,EastGroup Properties Inc,0.05
AFSI,AmTrust Financial Services Inc,0.05
ERIE,Erie Indemnity Co,0.04
WRE,Washington Real Estate Investment Trust,0.04
RLI,RLI Corp,0.04
FNGN,Financial Engines Inc,0.04
MCY,Mercury General Corp,0.04
DRH,DiamondRock Hospitality Co,0.04
TRMK,Trustmark Corp,0.04
IBOC,International Bancshares Corp,0.04
LXP,Lexington Realty Trust,0.04
CCP,CARE CAPITAL PROPERTIES INC,0.04
ALEX,Alexander & Baldwin Inc,0.04
PEB,Pebblebrook Hotel Trust,0.04
KMPR,Kemper Corp,0.04
CFFN,Capitol Federal Financial Inc,0.04
PCH,Potlatch Corp,0.03
XHR,Xenia Hotels & Resorts Inc,0.03
GNW,Genworth Financial Inc,0.03
JNS,Janus Capital Group Inc,0.03
KRG,Kite Realty Group Trust,0.03
LC,LendingClub Corp,0.03
IVR,Invesco Mortgage Capital Inc,0.03
QCP,QUALITY CARE PROPERTIES INC,0.03
CBL,CBL & Associates Properties Inc,0.03
FII,Federated Investors Inc,0.03
BOKF,BOK Financial Corp,0.03
WPG,WP GLIMCHER Inc,0.03
PRAA,PRA Group Inc,0.03
WDR,Waddell & Reed Financial Inc,0.03
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.02
JOE,St Joe Co,0.02
CYS,CYS Investments Inc,0.02
PKY,Parkway Properties Inc/Md,0.01
DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,0.01
