GUNR,5.6300001E9
NBL,NOBLE ENERGY INC COMMON STOCK USD 0.01,0.26
KLBN11 BZ,KLABIN SA UNIT BRL 0,0.26
RYN,RAYONIER INC REIT USD 0,0.25
CPIN IJ,CHAROEN POKPHAND INDONESIA TBK PT COMMON STOCK IDR,0.24
FDP,FRESH DEL MONTE PRODUCE INC COMMON STOCK USD 0.01,0.23
PEP MK,PPB GROUP BHD COMMON STOCK MYR 1,0.23
ICL IT,ISRAEL CHEMICALS LTD COMMON STOCK ILS 1,0.23
HES,HESS CORP COMMON STOCK USD 1,0.21
THO,TAHOE RESOURCES INC COMMON STOCK CAD,0.21
1333 JP,MARUHA NICHIRO CORP COMMON STOCK JPY,0.2
CVE,CENOVUS ENERGY INC COMMON STOCK CAD 0,0.2
GGR SP,GOLDEN AGRI-RESOURCES LTD COMMON STOCK SGD 0.025,0.2
WFT,WEST FRASER TIMBER CO LTD COMMON STOCK CAD 0,0.19
SALM NO,SALMAR ASA COMMON STOCK NOK 0.25,0.16
NUF.AX,NUFARM LTD/AUSTRALIA COMMON STOCK AUD 0,0.15
GNC.AX,GRAINCORP LTD COMMON STOCK AUD 0,0.14
MPI PM,METRO PACIFIC INVESTMENTS CORP COMMON STOCK PHP 1,0.13
UFPI,UNIVERSAL FOREST PRODUCTS INC COMMON STOCK USD 0,0.12
AGUAS.A CI,AGUAS ANDINAS SA COMMON STOCK CLP 0,0.1
CWT,CALIFORNIA WATER SERVICE GROUP COMMON STOCK USD,0.1
CSMG3 BZ,CIA DE SANEAMENTO DE MINAS GERAIS-COPASA COMMON,0.1
SJ,STELLA-JONES INC COMMON STOCK CAD 0,0.1
AWR,AMERICAN STATES WATER CO COMMON STOCK USD 0,0.1
SBS,CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,0.09
CFP,CANFOR CORP COMMON STOCK CAD 0,0.07
IFP,INTERFOR CORP COMMON STOCK CAD 0,0.06
DTEX3 BZ,DURATEX SA COMMON STOCK BRL 0,0.05
WEF,WESTERN FOREST PRODUCTS INC COMMON STOCK CAD 0,0.05
855 HK,CHINA WATER AFFAIRS GROUP LTD COMMON STOCK HKD,0.03
CPBI IN,CENTURY PLYBOARDS INDIA LTD COMMON STOCK INR 1,0.02
