IYC,8.6970003E8
LYV,Live Nation Entertainment Inc,0.12
CST,CST Brands Inc,0.12
LSXMA,LIBERTY MEDIA LIBERTY SIRIUSXM COR,0.11
LVNTA,Liberty Ventures,0.11
ROL,Rollins Inc,0.11
SAVE,Spirit Airlines Inc,0.11
AMCX,AMC Networks Inc,0.11
LOPE,Grand Canyon Education Inc,0.1
JACK,Jack in the Box Inc,0.1
BWLD,Buffalo Wild Wings Inc,0.1
CHE,Chemed Corp,0.1
BFAM,Bright Horizons Family Solutions Inc,0.1
CABO,Cable One Inc,0.1
SBH,Sally Beauty Holdings Inc,0.1
CAR,Avis Budget Group Inc,0.09
AN,AutoNation Inc,0.09
BECN,Beacon Roofing Supply Inc,0.09
DLB,Dolby Laboratories Inc,0.09
MSG,Madison Square Garden Co,0.09
TRCO,Tribune Media Co,0.09
LILAK,LIBERTY GLOBAL LILAC PLC CLASS C,0.09
CAKE,Cheesecake Factory Inc,0.09
GHC,Graham Holdings Co,0.09
TXRH,Texas Roadhouse Inc,0.09
WEN,Wendy's Co,0.09
ODP,Office Depot Inc,0.08
AEO,American Eagle Outfitters Inc,0.08
MUSA,Murphy USA Inc,0.08
JW.A,John Wiley & Sons Inc,0.08
CAB,Cabela's Inc,0.08
MDP,Meredith Corp,0.08
LGFB,LIONS GATE ENTERTAINMENT NON VOTIN,0.08
GME,GameStop Corp,0.08
SFM,Sprouts Farmers Market Inc,0.08
SBGI,Sinclair Broadcast Group Inc,0.08
LEXEA,LIBERTY EXPEDIA HOLDINGS INC SERIE,0.08
RGC,Regal Entertainment Group,0.07
VAC,Marriott Vacations Worldwide Corp,0.07
CHH,Choice Hotels International Inc,0.07
BID,Sotheby's,0.07
BIG,Big Lots Inc,0.07
ACXM,Acxiom Corp,0.07
LAD,Lithia Motors Inc,0.07
UNFI,United Natural Foods Inc,0.07
FIVE,Five Below Inc,0.07
EAT,Brinker International Inc,0.07
URBN,Urban Outfitters Inc,0.07
ALGT,Allegiant Travel Co,0.07
LBRDA,Liberty Broadband Corp,0.07
YELP,Yelp Inc,0.06
H,Hyatt Hotels Corp,0.06
DV,DeVry Education Group Inc,0.06
BLMN,Bloomin' Brands Inc,0.06
TIME,Time Inc,0.06
AAN,Aaron's Inc,0.06
JCP,JC Penney Co Inc,0.06
NYT,New York Times Co,0.06
HTZ,Hertz Global Holdings Inc,0.06
CHS,Chico's FAS Inc,0.06
