RWO,2.76999987E9
B14WZ4,Champion Real Estate Investment Trust,0.12
B12RQH,Keppel REIT,0.12
FSP,Franklin Street Properties Corp,0.12
8956,Premier Investment Corporation,0.11
8968,Fukuoka Reit Corporation,0.11
8957,Tokyu REIT Inc,0.11
RPT,Ramco-Gershenson Properties Trust,0.11
B0D6P4,Mapletree Logistics Trust,0.11
8986,Japan Rental Housing Investments Inc.,0.11
B67G5X,Workspace Group PLC,0.11
SRG,Seritage Growth Properties Class A,0.11
PEI,Pennsylvania Real Estate Investment Trust,0.1
622559,Charter Hall Retail REIT,0.1
612745,BWP Trust,0.1
BTDY2M,Kiwi Property Group Ltd.,0.1
408262,Befimmo SA,0.1
NSA,National Storage Affiliates Trust,0.09
8933,Ntt Urban Development Corporation,0.09
B0LMF8,Mercialys SA,0.09
3278,Kenedix Residential Investment Corporation,0.09
FCH,FelCor Lodging Trust Incorporated,0.09
3453,Kenedix Retail REIT Corp,0.09
B12W4C,Kungsleden AB,0.08
3287,Hoshino Resorts REIT Inc.,0.08
PKY,Parkway Inc.,0.08
HT,Hersha Hospitality Trust,0.08
3227,MCUBS MidCity Investment Corporation,0.08
8977,Hankyu Reit Inc,0.08
TIER,TIER REIT Inc.,0.08
BEI.U,Boardwalk REIT,0.07
SBY,Silver Bay Realty Trust Corp,0.07
UHT,Universal Health Realty Income Trust,0.07
BFS,Saul Centers Inc,0.07
D.U,Dream Office Real Estate Investment Trust Class A,0.07
AX,Artis Real Estate Investment Trust,0.07
629919,Goodman Property Trust,0.07
NRE,NorthStar Realty Europe Corp.,0.06
580813,Beni Stabili S.p.A. SIIQ,0.06
609327,Precinct Properties New Zealand Ltd.,0.06
674472,Robinsons Land Corp.,0.06
BZ1C8N,SA Corporate Real Estate Ltd.,0.06
B3DCF7,Atrium European Real Estate Limited,0.06
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.06
3462,Nomura Real Estate Master Fund Inc.,0.05
FPO,First Potomac Realty Trust,0.05
IRT,Independence Realty Trust Inc.,0.05
B0HZGR,Starhill Global Real Estate Investment Trust,0.05
492719,Vastned N.V.,0.05
8958,Global One Real Estate Investment Corporation,0.05
BNGNB7,Merlin Properties SOCIMI S.A,0.05
AHT,Ashford Hospitality Trust Inc,0.04
DEA,Easterly Government Properties Inc.,0.04
8803,Heiwa Real Estate Co Ltd,0.04
