DGRO,3.1E9
BBT,BB&T Corp,0.37
TGT,Target Corp,0.36
NKE,NIKE Inc,0.35
GD,General Dynamics Corp,0.35
RTN,Raytheon Co,0.33
CSX,CSX Corp,0.33
ITW,Illinois Tool Works Inc,0.33
COST,Costco Wholesale Corp,0.32
SRE,Sempra Energy,0.32
CME,CME Group Inc/IL,0.31
PX,Praxair Inc,0.31
BK,Bank of New York Mellon Corp,0.3
ANTM,Anthem Inc,0.3
TRV,Travelers Cos Inc,0.3
MPC,Marathon Petroleum Corp,0.29
XEL,Xcel Energy Inc,0.29
MA,MasterCard Inc,0.29
MMC,Marsh & McLennan Cos Inc,0.28
AFL,Aflac Inc,0.27
EIX,Edison International,0.27
YUM,Yum! Brands Inc,0.26
WM,Waste Management Inc,0.26
APD,Air Products & Chemicals Inc,0.26
TJX,TJX Cos Inc,0.26
ADM,Archer-Daniels-Midland Co,0.26
CAH,Cardinal Health Inc,0.25
WEC,WEC Energy Group Inc,0.25
CMI,Cummins Inc,0.25
BDX,Becton Dickinson and Co,0.23
ES,Eversource Energy,0.23
NOC,Northrop Grumman Corp,0.23
PAYX,Paychex Inc,0.23
SYY,Sysco Corp,0.22
ADI,Analog Devices Inc,0.22
DTE,DTE Energy Co,0.22
TEL,TE Connectivity Ltd,0.21
GLW,Corning Inc,0.21
ALL,Allstate Corp,0.21
STI,SunTrust Banks Inc,0.2
K,Kellogg Co,0.2
SYK,Stryker Corp,0.2
STT,State Street Corp,0.2
AMP,Ameriprise Financial Inc,0.2
OMC,Omnicom Group Inc,0.19
CLX,Clorox Co,0.18
TROW,T Rowe Price Group Inc,0.18
DFS,Discover Financial Services,0.17
PFG,Principal Financial Group Inc,0.17
VFC,VF Corp,0.17
IVZ,Invesco Ltd,0.17
NUE,Nucor Corp,0.17
PPG,PPG Industries Inc,0.17
MXIM,Maxim Integrated Products Inc,0.16
ROK,Rockwell Automation Inc,0.16
SPGI,S&P GLOBAL INC,0.16
DPS,Dr Pepper Snapple Group Inc,0.16
MAR,Marriott International Inc/MD,0.15
KLAC,KLA-Tencor Corp,0.15
WRK,WestRock Co,0.14
LB,L Brands Inc,0.14
KR,Kroger Co,0.14
ECL,Ecolab Inc,0.14
FDX,FedEx Corp,0.14
CMS,CMS Energy Corp,0.14
HSY,Hershey Co,0.14
SWK,Stanley Black & Decker Inc,0.14
SJM,JM Smucker Co,0.14
RCL,Royal Caribbean Cruises Ltd,0.14
FIS,Fidelity National Information Services Inc,0.14
KEY,KeyCorp,0.14
MJN,Mead Johnson Nutrition Co,0.13
GPC,Genuine Parts Co,0.13
FAST,Fastenal Co,0.13
XLNX,Xilinx Inc,0.13
MCHP,Microchip Technology Inc,0.13
AON,Aon PLC,0.13
INTU,Intuit Inc,0.13
PCAR,PACCAR Inc,0.13
IR,Ingersoll-Rand PLC,0.12
RSG,Republic Services Inc,0.12
EL,Estee Lauder Cos Inc,0.12
NTRS,Northern Trust Corp,0.12
PNW,Pinnacle West Capital Corp,0.12
M,Macy's Inc,0.12
HBAN,Huntington Bancshares Inc/OH,0.12
SHW,Sherwin-Williams Co,0.11
SCG,SCANA Corp,0.11
WHR,Whirlpool Corp,0.11
AJG,Arthur J Gallagher & Co,0.11
CBS,CBS Corp,0.11
BAX,Baxter International Inc,0.11
LNT,Alliant Energy Corp,0.11
ABC,AmerisourceBergen Corp,0.1
AWK,American Water Works Co Inc,0.1
MCO,Moody's Corp,0.1
DOV,Dover Corp,0.1
TSN,Tyson Foods Inc,0.1
BBY,Best Buy Co Inc,0.1
MSI,Motorola Solutions Inc,0.1
GWW,WW Grainger Inc,0.1
EMN,Eastman Chemical Co,0.1
CINF,Cincinnati Financial Corp,0.1
HRS,Harris Corp,0.1
LUV,Southwest Airlines Co,0.1
DRI,Darden Restaurants Inc,0.1
BEN,Franklin Resources Inc,0.1
HAS,Hasbro Inc,0.1
MCK,McKesson Corp,0.09
BG,Bunge Ltd,0.09
HOG,Harley-Davidson Inc,0.09
PKG,Packaging Corp of America,0.09
FNF,FNF Group,0.09
DGX,Quest Diagnostics Inc,0.09
CHRW,CH Robinson Worldwide Inc,0.09
