IJH,4.6840001E10
AGCO,AGCO Corp,0.24
WEX,WEX Inc,0.24
SMG,Scotts Miracle-Gro Co,0.24
FICO,Fair Isaac Corp,0.24
TRN,Trinity Industries Inc,0.24
MENT,Mentor Graphics Corp,0.24
TCO,Taubman Centers Inc,0.24
TECH,Bio-Techne Corp,0.23
MMS,MAXIMUS Inc,0.23
MPW,Medical Properties Trust Inc,0.23
UMPQ,Umpqua Holdings Corp,0.23
SAIC,Science Applications International Corp,0.23
LSI,LSI Corp,0.23
WSM,Williams-Sonoma Inc,0.23
CBRL,Cracker Barrel Old Country Store Inc,0.23
SWX,Southwest Gas Corp,0.23
NBR,Nabors Industries Ltd,0.23
EME,EMCOR Group Inc,0.23
WRI,Weingarten Realty Investors,0.23
THG,Hanover Insurance Group Inc,0.23
HLS,HealthSouth Corp,0.23
HBHC,Hancock Holding Co,0.22
WWD,Woodward Inc,0.22
HAIN,Hain Celestial Group Inc,0.22
CXW,Corrections Corp of America,0.22
LYV,Live Nation Entertainment Inc,0.22
CHFC,Chemical Financial Corp,0.22
DST,DST Systems Inc,0.22
KEX,Kirby Corp,0.22
CONE,CyrusOne Inc,0.22
NUVA,NuVasive Inc,0.22
CR,Crane Co,0.22
ASB,Associated Banc-Corp,0.22
CBT,Cabot Corp,0.22
CST,CST Brands Inc,0.21
ITT,ITT Corp,0.21
SKX,Skechers U.S.A. Inc,0.21
MANH,Manhattan Associates Inc,0.21
DLX,Deluxe Corp,0.21
LFUS,Littelfuse Inc,0.21
UNIT,UNITI GROUP INC,0.21
CTLT,Catalent Inc,0.21
HE,Hawaiian Electric Industries Inc,0.21
CRUS,Cirrus Logic Inc,0.21
SXT,Sensient Technologies Corp,0.21
HR,Healthcare Realty Trust Inc,0.21
BOH,Bank of Hawaii Corp,0.21
LSTR,Landstar System Inc,0.21
FLO,Flowers Foods Inc,0.21
PRI,Primerica Inc,0.21
BKH,Black Hills Corp,0.21
RYN,Rayonier Inc,0.21
ROL,Rollins Inc,0.2
SF,Stifel Financial Corp,0.2
VMI,Valmont Industries Inc,0.2
SNX,SYNNEX Corp,0.2
AMCX,AMC Networks Inc,0.2
MPWR,Monolithic Power Systems Inc,0.2
LPX,Louisiana-Pacific Corp,0.2
NTCT,NetScout Systems Inc,0.2
NATI,National Instruments Corp,0.2
LNCE,Snyder's-Lance Inc,0.2
CLGX,CoreLogic Inc/United States,0.2
ENR,Energizer Holdings Inc,0.2
OGS,ONE Gas Inc,0.2
PRXL,PAREXEL International Corp,0.2
CUZ,Cousins Properties Inc,0.2
RBC,Regal Beloit Corp,0.2
VSAT,ViaSat Inc,0.2
UMBF,UMB Financial Corp,0.19
GEO,GEO Group Inc,0.19
AHL,Aspen Insurance Holdings Ltd,0.19
TEX,Terex Corp,0.19
NJR,New Jersey Resources Corp,0.19
ENS,EnerSys,0.19
CIEN,Ciena Corp,0.19
LM,Legg Mason Inc,0.19
LHO,LaSalle Hotel Properties,0.19
TECD,Tech Data Corp,0.19
VSM,VERSUM MATERIALS INC,0.19
QEP,QEP Resources Inc,0.19
IDTI,Integrated Device Technology Inc,0.19
FULT,Fulton Financial Corp,0.19
OI,Owens-Illinois Inc,0.19
TKR,Timken Co,0.19
JACK,Jack in the Box Inc,0.18
OFC,Corporate Office Properties Trust,0.18
SKT,Tanger Factory Outlet Centers Inc,0.18
MBFI,MB Financial Inc,0.18
KMT,Kennametal Inc,0.18
CNO,CNO Financial Group Inc,0.18
TUP,Tupperware Brands Corp,0.18
FR,First Industrial Realty Trust Inc,0.18
VLY,Valley National Bancorp,0.18
KATE,Kate Spade & Co,0.18
PBH,Prestige Brands Holdings Inc,0.18
SBH,Sally Beauty Holdings Inc,0.18
CABO,Cable One Inc,0.17
DY,Dycom Industries Inc,0.17
SLAB,Silicon Laboratories Inc,0.17
CAR,Avis Budget Group Inc,0.17
BDC,Belden Inc,0.17
TCB,TCF Financial Corp,0.17
EDR,Education Realty Trust Inc,0.17
WAFD,Washington Federal Inc,0.17
IDCC,InterDigital Inc/PA,0.17
PNM,PNM Resources Inc,0.17
CLH,Clean Harbors Inc,0.17
WNR,Western Refining Inc,0.17
CATY,Cathay General Bancorp,0.17
DAN,Dana Holding Corp,0.16
POL,PolyOne Corp,0.16
NWE,NorthWestern Corp,0.16
JOY,Joy Global Inc,0.16
CNX,CONSOL Energy Inc,0.16
CAKE,Cheesecake Factory Inc,0.16
GHC,Graham Holdings Co,0.16
TXRH,Texas Roadhouse Inc,0.16
CAA,CALATLANTIC GROUP INC,0.16
WEN,Wendy's Co,0.16
CREE,Cree Inc,0.15
ESV,Ensco PLC,0.15
GPOR,Gulfport Energy Corp,0.15
ESL,Esterline Technologies Corp,0.15
BXS,BancorpSouth Inc,0.15
NUS,Nu Skin Enterprises Inc,0.15
MTX,Minerals Technologies Inc,0.15
ACIW,ACI Worldwide Inc,0.15
OII,Oceaneering International Inc,0.15
INT,World Fuel Services Corp,0.15
BWLD,Buffalo Wild Wings Inc,0.15
LANC,Lancaster Colony Corp,0.15
CEB,CEB Inc,0.15
HELE,Helen of Troy Ltd,0.15
AEO,American Eagle Outfitters Inc,0.14
SFM,Sprouts Farmers Market Inc,0.14
LPNT,LifePoint Health Inc,0.14
GME,GameStop Corp,0.14
KLXI,KLX Inc,0.14
ODP,Office Depot Inc,0.14
PBI,Pitney Bowes Inc,0.14
MUSA,Murphy USA Inc,0.14
TDS,Telephone & Data Systems Inc,0.14
UE,Urban Edge Properties,0.14
CLI,Mack-Cali Realty Corp,0.14
UFS,Domtar Corp,0.14
CAB,Cabela's Inc,0.14
JW.A,John Wiley & Sons Inc,0.14
CMP,Compass Minerals International Inc,0.14
GATX,GATX Corp,0.14
CTB,Cooper Tire & Rubber Co,0.13
SLGN,Silgan Holdings Inc,0.13
WOR,Worthington Industries Inc,0.13
CMC,Commercial Metals Co,0.13
MDRX,Allscripts Healthcare Solutions Inc,0.13
BID,Sotheby's,0.13
MDP,Meredith Corp,0.13
MSA,MSA Safety Inc,0.13
MCY,Mercury General Corp,0.13
ACXM,Acxiom Corp,0.13
OMI,Owens & Minor Inc,0.13
BIG,Big Lots Inc,0.13
LIVN,LIVANOVA PLC,0.13
CCP,CARE CAPITAL PROPERTIES INC,0.12
ENDP,ENDO INTERNATIONAL PLC,0.12
GVA,Granite Construction Inc,0.12
HNI,HNI Corp,0.12
KBR,KBR Inc,0.12
CVG,Convergys Corp,0.12
DRQ,Dril-Quip Inc,0.12
PZZA,Papa John's International Inc,0.12
GMED,Globus Medical Inc,0.12
CVLT,CommVault Systems Inc,0.12
FII,Federated Investors Inc,0.12
EAT,Brinker International Inc,0.12
VSH,Vishay Intertechnology Inc,0.12
TRMK,Trustmark Corp,0.12
DBD,Diebold Inc,0.12
SM,SM Energy Co,0.12
UNFI,United Natural Foods Inc,0.12
IBOC,International Bancshares Corp,0.12
SPN,Superior Energy Services Inc,0.12
TPX,Tempur Sealy International Inc,0.12
PAY,VeriFone Systems Inc,0.12
AVP,Avon Products Inc,0.11
TIME,Time Inc,0.11
JCP,JC Penney Co Inc,0.11
HYH,Halyard Health Inc,0.11
AAN,Aaron's Inc,0.11
TPH,TRI Pointe Group Inc,0.11
WBMD,WebMD Health Corp,0.11
ATI,Allegheny Technologies Inc,0.11
DV,DeVry Education Group Inc,0.11
KMPR,Kemper Corp,0.11
ALEX,Alexander & Baldwin Inc,0.11
AKRX,Akorn Inc,0.11
RDC,Rowan Cos Plc,0.11
MOH,Molina Healthcare Inc,0.11
CHDN,Churchill Downs Inc,0.11
DECK,Deckers Outdoor Corp,0.1
FCN,FTI Consulting Inc,0.1
CRS,Carpenter Technology Corp,0.1
DF,Dean Foods Co,0.1
QCP,QUALITY CARE PROPERTIES INC,0.1
OIS,Oil States International Inc,0.1
SYNA,Synaptics Inc,0.1
NYT,New York Times Co,0.1
CHS,Chico's FAS Inc,0.1
PCH,Potlatch Corp,0.1
PLT,Plantronics Inc,0.1
JNS,Janus Capital Group Inc,0.1
MLHR,Herman Miller Inc,0.1
GNW,Genworth Financial Inc,0.1
DNOW,NOW Inc,0.1
WDR,Waddell & Reed Financial Inc,0.09
DDD,3D Systems Corp,0.09
KBH,KB Home,0.09
WPG,WP GLIMCHER Inc,0.09
KN,Knowles Corp,0.09
NE,Noble Corp plc,0.08
THC,Tenet Healthcare Corp,0.08
GEF,Greif Inc,0.08
DDS,Dillard's Inc,0.08
SAM,Boston Beer Co Inc,0.08
HSNI,HSN Inc,0.07
VSTO,Vista Outdoor Inc,0.07
WERN,Werner Enterprises Inc,0.07
NSR,NeuStar Inc,0.06
WETF,WisdomTree Investments Inc,0.06
DO,Diamond Offshore Drilling Inc,0.06
ISCA,International Speedway Corp,0.05
DNR,Denbury Resources Inc,0.05
FOSL,Fossil Group Inc,0.04
TR,Tootsie Roll Industries Inc,0.04
