VCR,2.68E9
DORM,Dorman Products Inc,0.07
LOCK,LifeLock Inc,0.06
JCP,JC Penney Co Inc,0.06
CHH,Choice Hotels International Inc,0.06
AAN,Aaron's Inc,0.06
IMAX,IMAX Corp,0.06
CTB,Cooper Tire & Rubber Co,0.06
DV,DeVry Education Group Inc,0.06
VAC,Marriott Vacations Worldwide Corp,0.06
SHOO,Steven Madden Ltd,0.06
TIME,Time Inc,0.06
MNRO,Monro Muffler Brake Inc,0.06
BLMN,Bloomin' Brands Inc,0.06
CHDN,Churchill Downs Inc,0.06
TPH,TRI Pointe Group Inc,0.06
PLCE,Children's Place Inc,0.06
ILG,ILG INC,0.06
DECK,Deckers Outdoor Corp,0.05
HGV,HILTON GRAND VAC,0.05
STAY,Extended Stay America Inc,0.05
NYT,New York Times Co,0.05
VSTO,Vista Outdoor Inc,0.05
BYD,Boyd Gaming Corp,0.05
GPI,Group 1 Automotive Inc,0.05
PLAY,Dave & Buster's Entertainment Inc,0.05
CHS,Chico's FAS Inc,0.05
SFLY,Shutterfly Inc,0.05
CORE,Core-Mark Holding Co Inc,0.05
COLM,Columbia Sportswear Co,0.04
IRBT,iRobot Corp,0.04
LGF.A,LIONS GATE-A,0.04
GRPN,Groupon Inc,0.04
DSW,DSW Inc,0.04
AXL,American Axle & Manufacturing Holdings Inc,0.04
OLLI,Ollie's Bargain Outlet Holdings Inc,0.04
BLD,TopBuild Corp,0.04
MSGN,MSG NETWORKS- A,0.04
MTH,Meritage Homes Corp,0.04
BID,Sotheby's,0.04
LZB,La-Z-Boy Inc,0.04
CPS,Cooper-Standard Holding Inc,0.04
CAL,CALERES INC,0.04
ABG,Asbury Automotive Group Inc,0.04
PLKI,Popeyes Louisiana Kitchen Inc,0.04
THRM,Gentherm Inc,0.04
BEL,Belmond Ltd,0.04
GCO,Genesco Inc,0.04
H,Hyatt Hotels Corp,0.04
KBH,KB Home,0.04
LQ,La Quinta Holdings Inc,0.04
LTRPA,Liberty TripAdvisor Holdings Inc,0.04
W,Wayfair Inc,0.04
SEAS,SeaWorld Entertainment Inc,0.04
SCHL,Scholastic Corp,0.03
SONC,Sonic Corp,0.03
HMHC,Houghton Mifflin Harcourt Co,0.03
HSNI,HSN Inc,0.03
AOBC,AMERICAN OUTDOOR,0.03
LILA,LIBERTY LILAC-A,0.03
DIN,DineEquity Inc,0.03
MDC,MDC Holdings Inc,0.03
FOSL,Fossil Group Inc,0.03
DDS,Dillard's Inc,0.03
GIII,G-III Apparel Group Ltd,0.03
GCI,Gannett Co Inc,0.03
PLNT,PLANET FITNESS-A,0.03
MYCC,ClubCorp Holdings Inc,0.03
ELY,Callaway Golf Co,0.03
SSP,EW Scripps Co,0.03
APOL,Apollo Education Group Inc,0.03
BOBE,Bob Evans Farms Inc/DE,0.03
PENN,Penn National Gaming Inc,0.03
SMP,Standard Motor Products Inc,0.03
RH,Restoration Hardware Holdings Inc,0.03
RGR,Sturm Ruger & Co Inc,0.03
CPLA,Capella Education Co,0.03
NTRI,Nutrisystem Inc,0.03
GPRO,GoPro Inc,0.03
TLRD,TAILORED BRANDS,0.03
ISCA,International Speedway Corp,0.03
NCMI,National CineMedia Inc,0.03
DENN,Denny's Corp,0.03
SCSS,Select Comfort Corp,0.03
SGMS,Scientific Games Corp,0.02
UEIC,Universal Electronics Inc,0.02
WGO,Winnebago Industries Inc,0.02
AMC,AMC Entertainment Holdings Inc,0.02
CVCO,Cavco Industries Inc,0.02
STRA,Strayer Education Inc,0.02
OXM,Oxford Industries Inc,0.02
PNK,Pinnacle Entertainment Inc,0.02
WING,Wingstop Inc,0.02
GES,Guess? Inc,0.02
ETSY,Etsy Inc,0.02
NEWM,New Media Investment Group Inc,0.02
GTN,Gray Television Inc,0.02
ANF,Abercrombie & Fitch Co,0.02
EXPR,Express Inc,0.02
FOXF,Fox Factory Holding Corp,0.02
ASNA,Ascena Retail Group Inc,0.02
IBP,Installed Building Products Inc,0.02
FINL,Finish Line Inc,0.02
HIBB,Hibbett Sports Inc,0.02
LRN,K12 Inc,0.02
RRR,RED ROCK RESOR-A,0.02
FRGI,Fiesta Restaurant Group Inc,0.02
FRAN,Francesca's Holdings Corp,0.02
ETH,Ethan Allen Interiors Inc,0.02
BJRI,BJ's Restaurants Inc,0.02
WWE,World Wrestling Entertainment Inc,0.02
FWONA,LIBERTY MEDIA-A,0.02
CATO,Cato Corp,0.02
TTS,Tile Shop Holdings Inc,0.02
SAH,Sonic Automotive Inc,0.02
CECO,Career Education Corp,0.02
MOD,Modine Manufacturing Co,0.02
BKE,Buckle Inc,0.02
RRGB,Red Robin Gourmet Burgers Inc,0.02
BKS,Barnes & Noble Inc,0.02
PIR,Pier 1 Imports Inc,0.02
MHO,M/I Homes Inc,0.02
GNC,GNC Holdings Inc,0.02
ISLE,Isle of Capri Casinos Inc,0.02
BATRK,LIBERTY MEDIA-C,0.02
TMHC,Taylor Morrison Home Corp,0.01
TOWR,Tower International Inc,0.01
LORL,Loral Space & Communications Inc,0.01
HZO,MarineMax Inc,0.01
CROX,Crocs Inc,0.01
RUTH,Ruth's Hospitality Group Inc,0.01
LGIH,LGI Homes Inc,0.01
FRED,Fred's Inc,0.01
WCIC,WCI Communities Inc,0.01
RGS,Regis Corp,0.01
SHAK,Shake Shack Inc,0.01
MCS,Marcus Corp,0.01
MPAA,Motorcar Parts of America Inc,0.01
NLS,Nautilus Inc,0.01
BH,Biglari Holdings Inc,0.01
CHUY,Chuy's Holdings Inc,0.01
RCII,Rent-A-Center Inc/TX,0.01
VSI,Vitamin Shoppe Inc,0.01
SUP,Superior Industries International Inc,0.01
CZR,Caesars Entertainment Corp,0.01
NILE,Blue Nile Inc,0.01
TACO,Del Taco Restaurants Inc,0.01
PRTY,Party City Holdco Inc,0.01
BZH,Beazer Homes USA Inc,0.01
CHGG,Chegg Inc,0.01
WLH,William Lyon Homes,0.01
UFI,Unifi Inc,0.01
PBPB,Potbelly Corp,0.01
CSV,Carriage Services Inc,0.01
BNED,Barnes & Noble Education Inc,0.01
ERI,Eldorado Resorts Inc,0.01
WTW,Weight Watchers International Inc,0.01
ETM,Entercom Communications Corp,0.01
MDCA,MDC Partners Inc,0.01
CRMT,America's Car-Mart Inc/TX,0.01
BOJA,Bojangles' Inc,0.01
ENT,Global Eagle Entertainment Inc,0.01
CCS,Century Communities Inc,0.01
EVC,Entravision Communications Corp,0.01
APEI,American Public Education Inc,0.01
SCVL,Shoe Carnival Inc,0.01
MOV,Movado Group Inc,0.01
SRI,Stoneridge Inc,0.01
DLTH,DULUTH HLDGS - B,0.01
ICON,Iconix Brand Group Inc,0.01
ZOES,Zoe's Kitchen Inc,0.01
LL,Lumber Liquidators Holdings Inc,0.01
DFRG,Del Frisco's Restaurant Group Inc,0.01
FTD,FTD Cos Inc,0.01
HVT,Haverty Furniture Cos Inc,0.01
ZUMZ,Zumiez Inc,0.01
MPG,Metaldyne Performance Group Inc,0.01
LBY,Libbey Inc,0.01
RT,Ruby Tuesday Inc,0.0
NWS,News Corp,0.0
ASCMA,Ascent Capital Group Inc,0.0
BOOT,Boot Barn Holdings Inc,0.0
LIND,LINDBLAD EXPEDIT,0.0
SHLD,Sears Holdings Corp,0.0
BPI,Bridgepoint Education Inc,0.0
SMRT,Stein Mart Inc,0.0
HMTV,Hemisphere Media Group Inc,0.0
TCS,Container Store Group Inc,0.0
SSI,Stage Stores Inc,0.0
FOGO,Fogo De Chao Inc,0.0
HHS,Harte-Hanks Inc,0.0
NDLS,Noodles & Co,0.0
CACQ,Caesars Acquisition Co,0.0
CONN,Conn's Inc,0.0
KIRK,Kirkland's Inc,0.0
TRK,Speedway Motorsports Inc,0.0
LOCO,El Pollo Loco Holdings Inc,0.0
HOV,Hovnanian Enterprises Inc,0.0
SNOW,Intrawest Resorts Holdings Inc,0.0
WINA,Winmark Corp,0.0
ACAT,Arctic Cat Inc,0.0
NC,NACCO Industries Inc,0.0
HABT,Habit Restaurants Inc,0.0
SQBG,Sequential Brands Group Inc,0.0
SPWH,Sportsman's Warehouse Holdings Inc,0.0
FLWS,1-800-Flowers.com Inc,0.0
LE,Lands' End Inc,0.0
VRA,Vera Bradley Inc,0.0
TRNC,TRONC INC,0.0
TUES,Tuesday Morning Corp,0.0
OSTK,Overstock.com Inc,0.0
BATRA,LIBERTY MEDIA- A,0.0
